Active,aktiewe,
Address,adres,
Admin,admin,
All,Almal,
Amount,bedrag,
Approved,goedgekeur,
Assignment,opdrag,
Cancelled,gekanselleer,
Category,kategorie,
City,Stad,
Client ID,Kliënt-ID,
Client Secret,Kliëntgeheim,
Closed,gesluit,
Code,kode,
Color,Kleur,
Comments,kommentaar,
Company,maatskappy,
Company Name,maatskappynaam,
Complete,volledige,
Completed,voltooi,
Condition,toestand,
Confirmation Email Template,Bevestiging e-pos sjabloon,
Content,inhoud,
Country,land,
Currency,geldeenheid,
Custom HTML,Gepasmaakte HTML,
Dashboard,Dashboard,
Date,datum,
Day,dag,
Description,beskrywing,
Disable Signup,Deaktiveer aanmelding,
Disabled,gestremde,
Document,dokument,
Duration,duur,
Email Sent,E-pos is gestuur,
Enable,in staat te stel,
Enabled,enabled,
End Date,Einddatum,
Event,gebeurtenis,
Fail,misluk,
Failed,misluk,
Featured,Voorgestel,
Feedback,terugvoer,
Field To Check,Veld om na te gaan,
File Type,Leër tipe,
Friday,Vrydag,
From,Van,
From Date,Vanaf datum,
Full Name,Volle naam,
Function,Funksie,
Host,host,
Icon,ikoon,
Image,Image,
In Progress,In Progress,
Inactive,onaktiewe,
Index,indeks,
JavaScript,JavaScript,
Job,Job,
Keyboard Shortcuts,Sleutelbord kortpaaie,
Label,Etiket,
Language,Taal,
Location,plek,
Medium,medium,
Meta Description,Meta Beskrywing,
Meta Image,Meta-beeld,
Milestone,mylpaal,
Monday,Maandag,
New,nuwe,
Note,nota,
Notifications,Kennisgewings,
OAuth Client ID,OAuth-kliënt-ID,
Offline,op die regte pad,
Online,Online,
Open,oop,
Option 1,Opsie 1,
Option 2,Opsie 2,
Option 3,Opsie 3,
Output,uitset,
PDF,PDF,
Password,wagwoord,
Pending,hangende,
Percentage,persentasie,
Private,Privaat,
Progress,vordering,
Public,openbare,
Published,gepubliseer,
Published On,Gepubliseer op,
Rating,gradering,
Reference DocName,Referentie DocName,
Reference DocType,Verwysingsdokumenttipe,
Reference Document Type,Verwysings dokument tipe,
Rejected,verwerp,
Reload,Reload,
Remote,Afgeleë,
Restricted,beperkte,
Review,Resensie,
Role,Rol,
Route,roete,
Saturday,Saterdag,
Session Defaults,Sessie verstek,
Sidebar Items,Zijbalk Items,
Source,Bron,
Start Date,Begindatum,
Start Time,Begin Tyd,
Status,status,
Summary,opsomming,
Sunday,Sondag,
System Manager,Stelselbestuurder,
Tags,Tags,
Template,sjabloon,
Text,teks,
Thursday,Donderdag,
Time,tyd,
Title,Titel,
To,om,
To Date,Tot op hede,
Tuesday,Dinsdag,
Type,tipe,
URL,URL,
User,gebruiker,
User Field,Gebruikersveld,
User Image,Gebruikersbeeld,
Username,Gebruikersnaam,
Value,waarde,
Value Change,Waardeverandering,
View Website,Besigtig webwerf,
Web Page,Webblad,
Wednesday,Woensdag,
