Active,Активен,
Address,Адрес,
Admin,Admin,
All,всичко,
Amount,Стойност,
Approved,Одобрен,
Assignment,назначение,
Cancelled,Отменен,
Category,Категория,
City,град,
Client ID,Клиентски идентификационен номер,
Client Secret,Клиентска тайна,
Closed,Затворен,
Code,код,
Color,Цвят,
Comments,Коментари,
Company,Компания,
Company Name,Име на фирмата,
Complete,Завършен,
Completed,завършен,
Condition,Състояние,
Confirmation Email Template,Потвърждение на имейл шаблон,
Content,Съдържание,
Country,Страна,
Currency,Валута,
Custom HTML,Потребителски HTML,
Dashboard,Табло,
Date,Дата,
Day,ден,
Description,Описание,
Disable Signup,Забранете Регистрация,
Disabled,Неактивен,
Document,Документ,
Duration,продължителност,
Email Sent,Email Изпратено,
Enable,Активиране,
Enabled,Активен,
End Date,Крайна Дата,
Event,Събитие,
Fail,Неуспех,
Failed,Не успя,
Featured,Препоръчани,
Feedback,Обратна връзка,
Field To Check,Поле за проверка,
File Type,Тип файл,
Friday,Петък,
From,От,
From Date,От дата,
Full Name,Пълно Име,
Function,Функция,
Host,домакин,
Icon,икона,
Image,Изображение,
In Progress,Напред,
Inactive,неактивен,
Index,Индекс,
JavaScript,JavaScript,
Job,работа,
Keyboard Shortcuts,Комбинация от клавиши,
Label,етикет,
Language,Език,
Location,Местоположение,
Medium,Среда,
Meta Description,Мета Описание,
Meta Image,Мета изображение,
Milestone,важно събитие,
Monday,Понеделник,
New,нов,
Note,Забележка,
Notifications,Известия,
OAuth Client ID,Идентификационен номер на клиента на OAuth,
Offline,Извън линия,
Online,На линия,
Open,Отворено,
Option 1,Вариант 1,
Option 2,Вариант 2,
Option 3,Вариант 3,
Output,продукция,
PDF,PDF,
Password,Парола,
Pending,В очакване на,
Percentage,Процент,
Private,Частен,
Progress,Прогрес,
Public,Публичен,
Published,Публикуван,
Published On,Публикуван на,
Rating,оценка,
Reference DocName,Reference DocName,
Reference DocType,Референтен DocType,
Reference Document Type,Референтен Document Type,
Rejected,Отхвърлени,
Reload,Презареди,
Remote,отдалечен,
Restricted,Ограничен,
Review,преглед,
Role,Роля,
Route,маршрут,
Saturday,Събота,
Session Defaults,Сесия по подразбиране,
Sidebar Items,Sidebar артикули,
Source,Източник,
Start Date,Начална Дата,
Start Time,Начален Час,
Status,Статус,
Summary,резюме,
Sunday,Неделя,
System Manager,Мениджър на система,
Tags,Етикети,
Template,Шаблон,
Text,Текст,
Thursday,Четвъртък,
Time,път,
Title,Заглавие,
To,Да се,
To Date,Към Дата,
Tuesday,Вторник,
Type,Тип,
URL,URL,
User,потребител,
User Field,Поле на потребителя,
User Image,Потребител - Снимка,
Username,Потребителско име,
Value,стойност,
Value Change,Промяна на стойност,
View Website,Виж Website,
Web Page,Уеб Страница,
Wednesday,Сряда,
