About,O,
Acceptance for Terms and/or Policies,Prihvatanje Uslova i/ili Pravila,
Accepted,Prihvaćeno,
Account ID,Račun,
Account Name,Naziv Računa,
Active,Aktivan,
Address,Adresa,
Admin,Admin,
All,Sve,
Allow Guest Access,Dozvoli Pristup Gostima,
Allow Job Posting From Website,Dozvolite objavljivanje poslova sa web stranice,
Allow Self Enrollment,Dozvoli Samostalnu Registraciju,
Allow accessing future dates,Dozvoli Pristup Budućim Datumima,
Amber,Jantar,
Amount,Iznos,
Amount (USD),Iznos (USD),
Amount with GST,Iznos sa PDV-om,
Answer,Odgovori,
Apply GST for India,Primijeni GST za Indiju,
Apply Rounding on Equivalent,Primijeni zaokruživanje na ekvivalent,
Approved,Odobreno,
Apps,Aplikacije,
Assessment,Procjena,
Assessment Name,Naziv Procjene,
Assessment Type,Tip Procjene,
Assessments,Procjene,
Assignment,Dodjela,
Assignment Attachment,Prilog Zadatku,
Assignment Title,Naziv Zadatka,
Assignment will appear at the bottom of the lesson.,Zadatak će se pojaviti na dnu lekcije.,
Attendees,Učesnici,
Attire Preference,Preferencija Odjeće,
Auto Assign,Automatski Dodjeli,
Auto Recording,Automatsko Snimanje,
Badge,Značka,
Badge Description,Opis Značke,
Badge Image,Slika Značke,
Batch,Grupa,
Batch Confirmation Template,Šablon Potvrde Grupe,
Batch Course,Grupni Kurs,
Batch Description,Opis Grupe,
Batch Details,Detalji Grupe,
Batch Details Raw,Detalji Grupe,
Batch Evaluator,Ocjenjivač Grupe,
Batch Name,Naziv Grupe,
Batch Old,Stara Grupa,
Batch Settings,Postavke Grupe,
Batch Title,Naziv Grupe,
Batches,Grupe,
Begin Date,Datum Početka,
Billing Details,Detalji Fakture,
Billing Name,Faktura Adresa,
Blue,Plavo,
Body,Sadržaj,
Branch,Podružnica,
CGPA/4,CGPA/4,
Cancelled,Otkazano,
Career Preference Details,Detalji Preferencije u Karijeri,
Category,Kategorija,
Certificate,Certifikat,
Certificate Email Template,Šablon e-pošte Certifikata,
Certification,Certifikacija,
Certification Details,Detalji Certifikacije,
Certification Name,Naziv Certifikacije,
Certifications,Certifikacije,
Certified Members,Certificirani Članovi,
Chapter,Poglavlje,
Chapter Reference,Referenca Poglavlja,
Chapters,Poglavlja,
Choices,Izbori,
City,Grad,
Client ID,ID klijenta,
Client Secret,Tajna klijenta,
