Active,Actiu,
Address,Adreça,
Admin,Administrador,
All,Tots,
Amount,Quantitat,
Approved,Aprovat,
Assignment,assignació,
Cancelled,CANCERAT,
Category,Categoria,
City,Ciutat,
Client ID,ID de client,
Client Secret,secreta de client,
Closed,Tancat,
Code,Codi,
Color,Color,
Comments,Comentaris,
Company,Empresa,
Company Name,Nom de l'Empresa,
Complete,Completa,
Completed,Acabat,
Condition,Condició,
Confirmation Email Template,Plantilla de correu electrònic de confirmació,
Content,Contingut,
Country,País,
Currency,Moneda,
Custom HTML,HTML personalitzat,
Dashboard,panell,
Date,Data,
Day,dia,
Description,Descripció,
Disable Signup,Desactivar Inscripció,
Disabled,Deshabilitat,
Document,Document,
Duration,Durada,
Email Sent,Correu electrònic enviat,
Enable,Permetre,
Enabled,Activat,
End Date,Data de finalització,
Event,Esdeveniment,
Fail,Falla,
Failed,Fracassat,
Featured,Destacats,
Feedback,Resposta,
Field To Check,Camp per comprovar,
File Type,Tipus d&#39;arxiu,
Friday,Divendres,
From,Des,
From Date,Des de la data,
Full Name,Nom complet,
Function,Funció,
Host,amfitrió,
Icon,Icona,
Image,Imatge,
In Progress,En progrés,
Inactive,Inactiu,
Index,Índex,
JavaScript,JavaScript,
Job,Feina,
Keyboard Shortcuts,Dreceres de teclat,
Label,Etiqueta,
Language,Idioma,
Location,Ubicació,
Medium,Medium,
Meta Description,Meta Descripció,
Meta Image,Meta-imatge,
Milestone,Fita,
Monday,Dilluns,
New,Nou,
Note,Nota,
Notifications,Notificacions,
OAuth Client ID,Identificador de client OAuth,
Offline,desconnectat,
Online,en línia,
Open,Obert,
Option 1,Opció 1,
Option 2,Opció 2,
Option 3,Opció 3,
Output,sortida,
PDF,PDF,
Password,Contrasenya,
Pending,Pendent,
Percentage,Percentatge,
Private,Privat,
Progress,progrés,
Public,Públic,
Published,Publicat,
Published On,Publicat a,
Rating,classificació,
Reference DocName,DocName de referència,
Reference DocType,DocType de referència,
Reference Document Type,Referència Tipus de document,
Rejected,Rebutjat,
Reload,Recarregar,
Remote,remot,
Restricted,Restringit,
Review,Revisió,
Role,Rol,
Route,Ruta,
Saturday,Dissabte,
Session Defaults,Defectes predeterminats de la sessió,
Sidebar Items,Sidebar Items,
Source,Font,
Start Date,Data De Inici,
Start Time,Hora d'inici,
Status,Estat,
Summary,Resum,
Sunday,Diumenge,
System Manager,Administrador del sistema,
Tags,Etiquetes,
Template,Plantilla,
Text,Text,
Thursday,Dijous,
Time,Temps,
Title,Títol,
To,A,
To Date,Fins La Data,
Tuesday,Dimarts,
Type,Tipus,
URL,URL,
User,Usuari,
User Field,Camp d&#39;Usuari,
User Image,Imatge d'Usuari,
Username,Nom d&#39;usuari,
Value,Valor,
Value Change,Canvi de valor,
View Website,Veure Lloc Web,
Web Page,Pàgina Web,
Wednesday,Dimecres,
