Active,Aktivní,
Address,Adresa,
Admin,Správce,
All,Všechno,
Amount,Částka,
Approved,Schválený,
Assignment,Úkol,
Cancelled,Zrušeno,
Category,Kategorie,
City,Město,
Client ID,ID klienta,
Client Secret,Klientské tajemství,
Closed,Zavřeno,
Code,Kód,
Color,Barva,
Comments,Komentáře,
Company,Společnost,
Company Name,Název společnosti,
Complete,Kompletní,
Completed,Dokončeno,
Condition,Podmínka,
Confirmation Email Template,Potvrzovací e-mailová šablona,
Contact Us,Kontaktujte nás,
Content,Obsah,
Country,Země,
Currency,Měna,
Custom HTML,Vlastní HTML,
Dashboard,Přístrojová deska,
Date,Datum,
Day,Den,
Description,Popis,
Disable Signup,Vypnout registrování,
Disabled,Vypnuto,
Document,Dokument,
Duration,Doba trvání,
Email Sent,Email odeslán,
Enable,Zapnout,
Enabled,Zapnuto,
End Date,Datum ukončení,
Event,Událost,
Fail,Selhat,
Failed,Nepodařilo,
Featured,Doporučené,
Feedback,Zpětná vazba,
Field To Check,Pole ke kontrole,
File Type,Typ souboru,
Friday,Pátek,
From,Od,
From Date,Od data,
Full Name,Celé jméno/název,
Function,Funkce,
Host,Hostitel,
Icon,Ikona,
Image,Obrázek,
In Progress,Pokrok,
Inactive,Neaktivní,
Index,Index,
JavaScript,JavaScript,
Job,Práce,
Keyboard Shortcuts,Klávesové zkratky,
Label,Popisek,
Language,Jazyk,
Location,Místo,
Medium,Střední,
Meta Description,Meta popis,
Meta Image,Meta obrázek,
Milestone,Mezník,
Monday,Pondělí,
New,Nový,
Note,Poznámka,
Notifications,Oznámení,
OAuth Client ID,ID klienta OAuth,
Offline,Offline,
Online,Online,
Open,Otevřít,
Option 1,Možnost 1,
Option 2,Možnost 2,
Option 3,Varianta 3,
Output,Výstup,
PDF,PDF,
Password,Heslo,
Pending,Až do,
Percentage,Procento,
Private,Soukromé,
Progress,Pokrok,
Public,Veřejné,
Published,Publikováno,
Published On,Publikováno (kdy),
Rating,Rating,
Reference DocName,Odkaz DocName,
Reference DocType,Referenční DocType,
Reference Document Type,Referenční Typ dokumentu,
Rejected,Zamítnuto,
Reload,Znovu načíst,
Remote,Dálkový,
Restricted,Omezený,
Review,Posouzení,
Role,Role,
Route,Trasa,
Saturday,Sobota,
Session Defaults,Výchozí nastavení relace,
Sidebar Items,Položky postranního panelu,
Source,Zdroj,
Start Date,Datum zahájení,
Start Time,Start Time,
Status,Stav,
Summary,souhrn,
Sunday,Neděle,
System Manager,Správce systému,
Tags,tagy,
Template,Šablona,
Text,Text,
Thursday,Čtvrtek,
Time,Čas,
Title,Titulek,
To,Na,
To Date,To Date,
Tuesday,Úterý,
Type,Typ,
URL,URL,
User,Uživatel,
User Field,Pole uživatele,
User Image,Obrázek uživatele (avatar),
Username,Uživatelské jméno,
Value,Hodnota,
Value Change,Změnit hodnotu,
View Website,K webové stránce,
Web Page,Www stránky,
Wednesday,Středa,
