About,Om,
Accepted,Accepteret,
Account ID,Konto ID,
Account Name,Konto Navn,
Active,Aktiv,
Address,Adresse,
Admin,Admin,
All,Alle,
Amount,Beløb,
Amount (USD),Beløb (USD),
Answer,Svar,
Approved,Godkendt,
Apps,Apps,
Assessment,Bedømmelse,
Assignment,Opgave,
Attendees,Deltagere,
Attire Preference,Påklædning Præference,
Auto Assign,Automatisk Tildeling,
Body,Indhold,
CGPA/4,CGPA/4,
Cancelled,Annulleret,
Category,Kategori,
City,By,
Client ID,Klient-id,
Client Secret,Client Secret,
Closed,Lukket,
Code,Kode,
Color,Farve,
Comments,Kommentarer,
Company,Selskab,
Company Name,Firmaets navn,
Complete,Komplet,
Completed,Udført,
Condition,Tilstand,
Confirmation Email Template,E-mail bekræftelsesskabelon,
Contact Us,Kontakt Os,
Content,Indhold,
Contract,Aftale,
Country,Land,
Currency,Valuta,
Custom HTML,Tilpasset HTML,
Dashboard,Betjeningspanel,
Date,Dato,
Day,Dag,
Description,Beskrivelse,
Disable Signup,Deaktiver Tilmelding,
Disabled,Deaktiveret,
Document,Dokument,
Duration,Varighed,
Email Sent,E-mail sendt,
Enable,Aktiver,
Enabled,Aktiv,
End Date,Slutdato,
Event,Begivenhed,
Fail,Svigte,
Failed,Mislykkedes,
Featured,Fremhævet,
Feedback,Feedback,
Field To Check,"Felt, der skal kontrolleres",
File Type,Filtype,
Friday,Fredag,
From,Fra,
From Date,Fra dato,
Full Name,Navn,
Function,Fungere,
Host,Vært,
Icon,Ikon,
Image,Billede,
In Progress,I gang,
Inactive,inaktive,
Index,Indeks,
JavaScript,JavaScript,
Job,Job,
Keyboard Shortcuts,Tastaturgenveje,
Label,Label,
Language,Sprog,
Location,Lokation,
Medium,Medium,
Meta Description,Meta beskrivelse,
Meta Image,Metabillede,
Milestone,Milestone,
Monday,Mandag,
New,Ny,
Note,Bemærk,
Notifications,underretninger,
OAuth Client ID,OAuth-klient-id,
Offline,Offline,
Online,Online,
Open,Åbne,
Option 1,Mulighed 1,
Option 2,Mulighed 2,
Option 3,Mulighed 3,
Output,Produktion,
PDF,PDF,
Password,Adgangskode,
Pending,Afventer,
Percentage,Procent,
Private,Privat,
Progress,Fremskridt,
Public,Offentlig,
Published,Udgivet,
Published On,Udgivet d.,
Rating,Bedømmelse,
Reference DocName,Reference DocName,
Reference DocType,Reference DocType,
Reference Document Type,Referencedokument type,
Rejected,Afvist,
Reload,Genindlæs,
Remote,Fjern,
Restricted,begrænset,
Review,Anmeldelse,
Role,Rolle,
Route,Rute,
Saturday,Lørdag,
Session Defaults,Standard for session,
Sidebar Items,Sidebar varer,
Source,Kilde,
Start Date,Startdato,
Start Time,Start Time,
Status,Status,
Summary,Resumé,
Sunday,Søndag,
System Manager,System Manager,
Tags,Tags,
Template,Skabelon,
Text,Tekst,
Thursday,Torsdag,
Time,Tid,
Title,Titel,
To,Til,
To Date,Til dato,
Tuesday,Tirsdag,
Type,Type,
URL,URL,
User,Bruger,
User Field,Brugerfelt,
User Image,Brugerbillede,
Username,Brugernavn,
Value,Værdi,
Value Change,Value Change,
View Website,Se hjemmeside,
Web Page,Hjemmeside,
Wednesday,Onsdag,
