Active,aktiivinen,
Address,Osoite,
Admin,admin,
All,Kaikki,
Amount,Summa,
Approved,hyväksytty,
Assignment,toimeksianto,
Cancelled,peruttu,
Category,Luokka,
City,Kaupunki,
Client ID,asiakastunnuksen,
Client Secret,asiakassalaisuutesi,
Closed,suljettu,
Code,koodi,
Color,väri,
Comments,Kommentit,
Company,Yritys,
Company Name,Yrityksen nimi,
Complete,Täydellinen,
Completed,valmistunut,
Condition,ehto,
Confirmation Email Template,Vahvistussähköpostimalli,
Content,sisältö,
Country,Maa,
Currency,Valuutta,
Custom HTML,Mukautettu HTML,
Dashboard,kojelauta,
Date,Päiväys,
Day,Päivä,
Description,Kuvaus,
Disable Signup,poista kirjautuminen käytöstä,
Disabled,Passiivinen,
Document,Dokumentti,
Duration,Kesto,
Email Sent,sähköposti lähetetty,
Enable,ota käyttöön,
Enabled,Aktiivinen,
End Date,päättymispäivä,
Event,Tapahtuma,
Fail,epäonnistua,
Failed,Epäonnistui,
Featured,Esittelyssä,
Feedback,Palaute,
Field To Check,Tarkistettava kenttä,
File Type,Tiedostotyyppi,
Friday,perjantai,
From,Keneltä,
From Date,Päivästä,
Full Name,Koko nimi,
Function,Toiminto,
Host,isäntä,
Icon,ikoni,
Image,Kuva,
In Progress,Käynnissä,
Inactive,Epäaktiivinen,
Index,indeksi,
JavaScript,Javascript,
Job,Job,
Keyboard Shortcuts,Pikanäppäimet,
Label,Nimike,
Language,Kieli,
Location,Sijainti,
Medium,Keskikokoinen,
Meta Description,Sisällönkuvaus,
Meta Image,Metakuva,
Milestone,Virstanpylväs,
Monday,Maanantai,
New,Uusi,
Note,Muistiinpano,
Notifications,ilmoitukset,
OAuth Client ID,OAuth Client ID,
Offline,Poissa,
Online,Online,
Open,Avoin,
Option 1,Vaihtoehto 1,
Option 2,Vaihtoehto 2,
Option 3,Vaihtoehto 3,
Output,ulostulo,
PDF,PDF,
Password,Salasana,
Pending,Odottaa,
Percentage,Prosentti,
Private,Yksityinen,
Progress,Edistyminen,
Public,Julkinen,
Published,Julkaistu,
Published On,Julkaistu,
Rating,luokitus,
Reference DocName,Viite DocName,
Reference DocType,Viite DocType,
Reference Document Type,Viite Asiakirjan tyyppi,
Rejected,Hylätty,
Reload,Päivitä,
Remote,Etä,
Restricted,rajoitetut,
Review,Arvostelu,
Role,Rooli,
Route,Polku,
Saturday,Lauantai,
Session Defaults,Istunnon oletukset,
Sidebar Items,Sivupalkki nimikkeet,
Source,Lähde,
Start Date,aloituspäivä,
Start Time,aloitusaika,
Status,Tila,
Summary,Yhteenveto,
Sunday,sunnuntai,
System Manager,Järjestelmän ylläpitäjä,
Tags,Tagit,
Template,Mallipohja,
Text,Teksti,
Thursday,Torstai,
Time,Aika,
Title,otsikko,
To,jotta,
To Date,Päivään,
Tuesday,tiistai,
Type,tyyppi,
URL,URL,
User,käyttäjä,
User Field,Käyttäjäkenttä,
User Image,Käyttäjän kuva,
Username,Käyttäjätunnus,
Value,Arvo,
Value Change,Muuta arvoa,
View Website,Näytä verkkosivusto,
Web Page,Verkkosivu,
Wednesday,Keskiviikko,
