Active,સક્રિય,
Address,સરનામું,
Admin,એડમિન,
All,બધા,
Amount,રકમ,
Approved,મંજૂર,
Assignment,સોંપણી,
Cancelled,રદ,
Category,શ્રેણી,
City,સિટી,
Client ID,ક્લાઇન્ટ ID,
Client Secret,ક્લાઈન્ટ સિક્રેટ,
Closed,બંધ,
Code,કોડ,
Color,રંગ,
Comments,ટિપ્પણીઓ,
Company,કંપની,
Company Name,કંપની નું નામ,
Complete,પૂર્ણ,
Completed,પૂર્ણ,
Condition,કન્ડિશન,
Confirmation Email Template,પુષ્ટિ ઇમેઇલ Templateાંચો,
Content,સામગ્રી,
Country,દેશ,
Currency,કરન્સી,
Custom HTML,કસ્ટમ HTML,
Dashboard,ડેશબોર્ડ,
Date,તારીખ,
Day,દિવસ,
Description,વર્ણન,
Disable Signup,સાઇનઅપ અક્ષમ કરો,
Disabled,અક્ષમ,
Document,દસ્તાવેજ,
Duration,સમયગાળો,
Email Sent,ઇમેઇલ મોકલ્યો છે,
Enable,સક્ષમ કરો,
Enabled,સક્ષમ,
End Date,સમાપ્તિ તારીખ,
Event,ઇવેન્ટ,
Fail,નિષ્ફળ,
Failed,નિષ્ફળ,
Featured,ફીચર્ડ,
Feedback,પ્રતિસાદ,
Field To Check,તપાસવા માટેનું ક્ષેત્ર,
File Type,ફાઇલ પ્રકાર,
Friday,શુક્રવારે,
From,પ્રતિ,
From Date,તારીખ થી,
Full Name,આખુ નામ,
Function,કાર્ય,
Host,યજમાન,
Icon,ચિહ્ન,
Image,છબી,
In Progress,પ્રગતિમાં,
Inactive,નિષ્ક્રિય,
Index,ઈન્ડેક્સ,
JavaScript,જાવાસ્ક્રિપ્ટ,
Job,જોબ,
Keyboard Shortcuts,કીબોર્ડ શૉર્ટકટ્સ,
Label,લેબલ,
Language,ભાષા,
Location,સ્થાન,
Medium,મધ્યમ,
Meta Description,મેટા વર્ણન,
Meta Image,મેટા છબી,
Milestone,માઇલ સ્ટોન,
Monday,સોમવારે,
New,નવું,
Note,નૉૅધ,
Notifications,સૂચનાઓ,
OAuth Client ID,OAuth ક્લાયંટ ID,
Offline,ઑફલાઇન,
Online,ઓનલાઇન,
Open,ઓપન,
Option 1,વિકલ્પ 1,
Option 2,વિકલ્પ 2,
Option 3,વિકલ્પ 3,
Output,આઉટપુટ,
PDF,પીડીએફ,
Password,પાસવર્ડ,
Pending,બાકી,
Percentage,ટકાવારી,
Private,ખાનગી,
Progress,પ્રગતિ,
Public,જાહેર,
Published,પ્રકાશિત,
Published On,પર પ્રકાશિત,
Rating,રેટિંગ,
Reference DocName,સંદર્ભ ડોકનામ,
Reference DocType,સંદર્ભ ડોકટાઇપ,
Reference Document Type,સંદર્ભ દસ્તાવેજ પ્રકારની,
Rejected,નકારેલું,
Reload,ફરી લાવો,
Remote,દૂરસ્થ,
Restricted,પ્રતિબંધિત,
Review,સમીક્ષા,
Role,ભૂમિકા,
Route,રૂટ,
Saturday,શનિવારે,
Session Defaults,સત્ર ડિફોલ્ટ્સ,
Sidebar Items,સાઇડબાર વસ્તુઓ,
Source,સોર્સ,
Start Date,પ્રારંભ તારીખ,
Start Time,પ્રારંભ સમય,
Status,સ્થિતિ,
Summary,સારાંશ,
Sunday,રવિવારે,
System Manager,સિસ્ટમ વ્યવસ્થાપક,
Tags,ટૅગ્સ,
Template,ઢાંચો,
Text,લખાણ,
Thursday,ગુરુવારે,
Time,સમય,
Title,શીર્ષક,
To,માટે,
To Date,આજ સુધી,
Tuesday,મંગળવારે,
Type,પ્રકાર,
URL,URL ને,
User,વપરાશકર્તા,
User Field,વપરાશકર્તા ક્ષેત્ર,
User Image,વપરાશકર્તા છબી,
Username,વપરાશકર્તા નામ,
Value,મૂલ્ય,
Value Change,કિંમત બદલો,
View Website,વેબસાઇટ જુઓ,
Web Page,વેબ પેજ,
Wednesday,બુધવારે,
