Active,सक्रिय,
Address,पता,
Admin,व्यवस्थापक,
All,सब,
Amount,राशि,
Approved,अनुमोदित,
Assignment,असाइनमेंट,
Cancelled,रद्द,
Category,श्रेणी,
City,शहर,
Client ID,ग्राहक ID,
Client Secret,क्लाइंट सीक्रेट,
Closed,बंद,
Code,कोड,
Color,रंग,
Comments,टिप्पणियां,
Company,कंपनी,
Company Name,कंपनी का नाम,
Complete,पूरा,
Completed,पूरा,
Condition,शर्त,
Confirmation Email Template,ईमेल टेम्पलेट की पुष्टि,
Content,सामग्री,
Country,देश,
Currency,मुद्रा,
Custom HTML,कस्टम HTML,
Dashboard,डैशबोर्ड,
Date,तारीख,
Day,दिन,
Description,विवरण,
Disable Signup,पंजीकरण अक्षम,
Disabled,विकलांग,
Document,दस्तावेज़,
Duration,अवधि,
Email Sent,ईमेल भेजा गया,
Enable,सक्षम,
Enabled,Enabled,
End Date,समाप्ति तिथि,
Event,घटना,
Fail,असफल,
Failed,विफल,
Featured,विशेष रुप से प्रदर्शित,
Feedback,प्रतिपुष्टि,
Field To Check,जाँच करने के लिए फ़ील्ड,
File Type,फाइल का प्रकार,
Friday,शुक्रवार,
From,से,
From Date,दिनांक से,
Full Name,पूरा नाम,
Function,समारोह,
Host,मेज़बान,
Icon,चिह्न,
Image,छवि,
In Progress,चालू,
Inactive,निष्क्रिय,
Index,अनुक्रमणिका,
JavaScript,जावास्क्रिप्ट,
Job,काम,
Keyboard Shortcuts,कुंजीपटल अल्प मार्ग,
Label,लेबल,
Language,भाषा,
Location,स्थान,
Medium,मध्यम,
Meta Description,मेटा विवरण,
Meta Image,मेटा इमेज,
Milestone,मील का पत्थर,
Monday,सोमवार,
New,नया,
Note,नोट,
Notifications,सूचनाएं,
OAuth Client ID,OAuth क्लाइंट आईडी,
Offline,ऑफलाइन,
Online,ऑनलाइन,
Open,खुला,
Option 1,विकल्प 1,
Option 2,विकल्प 2,
Option 3,विकल्प 3,
Output,उत्पादन,
PDF,पीडीएफ,
Password,पासवर्ड,
Pending,अपूर्ण,
Percentage,का प्रतिशत,
Private,निजी,
Progress,प्रगति,
Public,सार्वजनिक,
Published,प्रकाशित,
Published On,पर प्रकाशित,
Rating,रेटिंग,
Reference DocName,संदर्भ DocName,
Reference DocType,संदर्भ DocType,
Reference Document Type,संदर्भ दस्तावेज़ प्रकार,
Rejected,अस्वीकृत,
Reload,सीमा से अधिक लादना,
Remote,रिमोट,
Restricted,वर्जित,
Review,समीक्षा,
Role,भूमिका,
Route,मार्ग,
Saturday,शनिवार,
Session Defaults,सत्र चूक,
Sidebar Items,साइडबार आइटम,
Source,स्रोत,
Start Date,प्रारंभ दिनांक,
Start Time,समय शुरू,
Status,हैसियत,
Summary,सारांश,
Sunday,रविवार,
System Manager,सिस्टम प्रबंधक,
Tags,टैग,
Template,टेम्पलेट,
Text,अक्षर,
Thursday,बृहस्पतिवार,
Time,समय,
Title,शीर्षक,
To,सेवा मेरे,
To Date,तिथि करने के लिए,
Tuesday,मंगलवार,
Type,टाइप,
URL,यूआरएल,
User,उपयोगकर्ता,
User Field,प्रयोक्ता फील्ड,
User Image,User Image,
Username,यूजर का नाम,
Value,मूल्य,
Value Change,मान बदलने,
View Website,वेबसाइट देखें,
Web Page,वेब पेज,
Wednesday,बुधवार,
