Accepted,Elfogadva,
Active,Aktív,
Address,Cím,
Admin,Admin,
All,Összes,
Amount,Összeg,
Approved,Jóváhagyott,
Apps,Alkalmazások,
Assignment,Hozzárendelés,
Body,Test,
Cancelled,Törölve,
Category,Kategória,
City,Város,
Client ID,Ügyfél azonosító,
Client Secret,Ügyfél titkosító,
Closed,Lezárva,
Code,Kód,
Color,Szín,
Comments,Hozzászólások,
Company,Vállalkozás,
Company Details,Cégadatok,
Company Email Address,Cég e-mail címe,
Company Name,Válallkozás neve,
Company Website,Cég honlapja,
Complete,teljes,
Completed,Befejezve,
Condition,Feltétel,
Confirmation Email Template,Megerősítő e-mail sablon,
Contact Us,Lépjen kapcsolatba velünk,
Content,Tartalom,
Country,Ország,
Currency,Pénznem,
Custom HTML,Egyedi HTML,
Dashboard,Irányítópult,
Date,Dátum,
Day,Nap,
Description,Leírás,
Disable Signup,Feliratkozás tiltása,
Disabled,Tiltva,
Document,Dokumentum,
Duration,Tartam,
Email Sent,Email elküldve,
Email Templates,E-mail sablonok,
Emails,E-mailek,
Enable,Engedélyezve,
Enabled,Engedélyezve,
End Date,Befejezés dátuma,
End Time,Befejezés dátuma,
Event,Esemény,
Fail,Nem sikerül,
Failed,Sikertelen,
Featured,Kiemelt,
Feedback,Visszajelzés,
Field To Check,Ellenőrizendő mező,
File Type,Fájl típusa,
Freelance,Szabadúszó,
Friday,Péntek,
From,-tól,
From Date,Dátumtól,
Full Name,Teljes név,
Full Time,Teljes munkaidőben,
Function,Funkció,
General,Általános,
Host,Házigazda,
Icon,Ikon,
Image,Kép,
In Progress,Folyamatban,
Inactive,Inaktív,
Index,Indexelés,
JavaScript,JavaScript,
Job,Munka,
Job Opportunity,Álláslehetőség,
Job Title,Beosztás,
Keyboard Shortcuts,Gyorsbillentyűket,
LMS Student,LMS diák,
Label,Felirat,
Language,Nyelv,
Location,Tartózkodási hely,
Medium,Közepes,
Meta Description,Meta Leírás,
Meta Image,Meta kép,
Milestone,Mérföldkő,
Monday,Hétfő,
New,Új,
Note,Jegyzet,
Notifications,Értesítések,
OAuth Client ID,OAuth kliens azonosító,
Offline,Offline,
Online,Online,
Open,Megnyitva,
Option 1,1. lehetőség,
Option 2,2. lehetőség,
Option 3,3. lehetőség,
Option 4,4. lehetőség,
Orange,narancssárga,
Output,Teljesítmény,
PDF,PDF,
Part Time,Részmunkaidő,
Pass,Sikeres,
Password,Jelszó,
Pending,Függő,
Percentage,Százalék,
Pink,Rózsaszín,
Preview Image,Előnézeti Kép,
Private,Magán,
Progress,Előrehaladás,
Public,Nyilvános,
Published,Közzétett,
Published On,Közzétette ekkor,
Purple,Lila,
Python,Python,
Rating,Értékelés,
Reference DocName,Hivatkozás DocName,
Reference DocType,Hivatkozás DocType,
Reference Document Type,Referencia Dokumentum típus,
Rejected,Elutasítva,
Reload,Reload,
Remote,Távoli,
Restricted,Korlátozott,
Result,Eredmény,
Review,Felülvizsgálat,
Role,Beosztás,
Route,Útvonal,
Saturday,Szombat,
Schedule,Ütemezés,
Scope,terület,
Session Defaults,Munkamenet alapértelmezései,
Sidebar,Oldalsáv,
Sidebar Items,Oldalsáv tételei,
Source,Forrás,
Start Date,Kezdés dátuma,
Start Time,Kezdés ideje,
Statistics,Statisztikák,
Status,Állapot,
Summary,Összefoglalás,
Sunday,Vasárnap,
System Manager,Rendszergazda,
Tags,Címkék,
Template,Sablon,
Text,Szöveg,
Thursday,Csütörtök,
Time,Idő,
Title,Cím,
To,Nak nek,
To Date,Dátumig,
Tuesday,Kedd,
Type,Típus,
URL,URL,
User,használó,
User Field,Felhasználói mező,
User Image,Felhasználó képe,
Username,Felhasználói név,
Value,Érték,
Value Change,Érték Változás,
View Website,Weboldal megtekintése,
Visibility,Láthatóság,
Web Page,Weboldal,
Wednesday,Szerda,
Yellow,Sárga,
