Active,virk,
Address,Heimilisfang,
Admin,Admin,
All,Allt,
Amount,upphæð,
Approved,samþykkt,
Assignment,framsal,
Cancelled,Hætt við,
Category,Flokkur,
City,Borg,
Client ID,Viðskiptavinur ID,
Client Secret,Viðskiptavinur Secret,
Closed,lokað,
Code,code,
Color,Litur,
Comments,Comments,
Company,fyrirtæki,
Company Name,nafn fyrirtækis,
Complete,Complete,
Completed,lokið,
Condition,Ástand,
Confirmation Email Template,Staðfestingarnetfang sniðmát,
Content,innihald,
Country,Land,
Currency,Gjaldmiðill,
Custom HTML,Custom HTML,
Dashboard,Mælaborð,
Date,Dagsetning,
Day,dagur,
Description,Lýsing,
Disable Signup,slökkva á innskráningarinneign,
Disabled,Fatlaðir,
Document,Skjal,
Duration,Lengd,
Email Sent,Tölvupóstur sendur,
Enable,Virkja,
Enabled,virkt,
End Date,Lokadagur,
Event,Event,
Fail,Mistakast,
Failed,mistókst,
Featured,Valin,
Feedback,athugasemdir,
Field To Check,Reit til að athuga,
File Type,Tegund skráar,
Friday,föstudagur,
From,frá,
From Date,frá Dagsetning,
Full Name,Fullt nafn,
Function,Virka,
Host,Host,
Icon,Táknmynd,
Image,Mynd,
In Progress,Í vinnslu,
Inactive,Óvirkt,
Index,Index,
JavaScript,javascript,
Job,Job,
Keyboard Shortcuts,Flýtilyklar,
Label,Label,
Language,Tungumál,
Location,Staðsetning,
Medium,Medium,
Meta Description,Meta Lýsing,
Meta Image,Meta mynd,
Milestone,Áfangi,
Monday,Mánudagur,
New,Nýtt,
Note,Note,
Notifications,Tilkynningar,
OAuth Client ID,Auðkenni viðskiptavinar OAuth,
Offline,offline,
Online,Online,
Open,Open,
Option 1,valkostur 1,
Option 2,valkostur 2,
Option 3,valkostur 3,
Output,Output,
PDF,PDF,
Password,Lykilorð,
Pending,Bíður,
Percentage,Hlutfall,
Private,Private,
Progress,progress,
Public,Public,
Published,Útgefið,
Published On,birt á,
Rating,einkunn,
Reference DocName,Tilvísun DocName,
Reference DocType,Tilvísun DocType,
Reference Document Type,Tilvísun skjal tegund,
Rejected,hafnað,
Reload,endurhlaða,
Remote,Remote,
Restricted,Takmarkað,
Review,Endurskoðun,
Role,hlutverk,
Route,Route,
Saturday,laugardagur,
Session Defaults,Sjálfgefin seta,
Sidebar Items,Skenkur Items,
Source,Source,
Start Date,Upphafsdagur,
Start Time,Byrjunartími,
Status,Staða,
Summary,Yfirlit,
Sunday,sunnudagur,
System Manager,System Manager,
Tags,Tags,
Template,Snið,
Text,Texti,
Thursday,fimmtudagur,
Time,Tími,
Title,Title,
To,Til,
To Date,Hingað til,
Tuesday,þriðjudagur,
Type,Gerð,
URL,URL,
User,Notandi,
User Field,Notendasvið,
User Image,User Image,
Username,Notandanafn,
Value,Gildi,
Value Change,gildi Breyta,
View Website,view Website,
Web Page,Vefsíða,
Wednesday,miðvikudagur,
