About,Informazioni,
Accepted,Accettato,
Active,Attivo,
Address,Indirizzo,
Admin,Admin,
All,Tutti,
Amber,Ambra,
Amount,Importo,
Approved,Approvato,
Apps,Applicazioni,
Assignment,assegnazione,
Cancelled,Annullato,
Category,Categoria,
City,Città,
Client ID,Identificativo cliente,
Client Secret,Client Secret,
Closed,Chiuso,
Code,Codice,
Color,Colore,
Comments,Commenti,
Company,Azienda,
Company Name,Nome Azienda,
Complete,Completare,
Completed,Completato,
Condition,Condizione,
Confirmation Email Template,Modello di email di conferma,
Content,Contenuto,
Country,Paese,
Currency,Valuta,
Custom HTML,HTML personalizzato,
Dashboard,Dashboard,
Date,Data,
Day,Giorno,
Description,Descrizione,
Disable Signup,Disabilita Iscrizione,
Disabled,Disabilitato,
Document,Documento,
Duration,Durata,
Email Sent,E-mail Inviata,
Enable,permettere,
Enabled,Abilitato,
End Date,Data di Fine,
Event,Evento,
Fail,Errore,
Failed,Impossibile,
Featured,In primo piano,
Feedback,Riscontri,
Field To Check,Campo da controllare,
File Type,Tipo di file,
Friday,Venerdì,
From,Da,
From Date,Da Data,
Full Name,Nome e Cognome,
Function,Funzione,
Host,Ospite,
Icon,Icona,
Image,Immagine,
In Progress,In corso,
Inactive,Inattivo,
Index,Indice,
JavaScript,JavaScript,
Job,Lavoro,
Keyboard Shortcuts,Tasti rapidi,
Label,Etichetta,
Language,Lingua,
Location,Luogo,
Manager,Responsabile,
Medium,Media,
Meta Description,Meta Description,
Meta Image,Meta immagine,
Milestone,Milestone,
Monday,Lunedi,
New,Nuovo,
Note,Nota,
Notifications,notifiche,
OAuth Client ID,ID client OAuth,
Offline,disconnesso,
Online,Online,
Open,Aperto,
Option 1,Opzione 1,
Option 2,Opzione 2,
Option 3,Opzione 3,
Output,Produzione,
PDF,PDF,
Pass,Riuscito,
Passed,Superato,
Password,Password,
Pending,In attesa,
Percentage,Percentuale,
Private,Privato,
Progress,Progresso,
Public,Pubblico,
Published,Pubblicato,
Published On,Edizione del,
Rating,Valutazione,
Reference DocName,Riferimento DocName,
Reference DocType,Riferimento DocType,
Reference Document Type,Riferimento Tipo di documento,
Rejected,Rifiutato,
Reload,Aggiorna,
Remote,A distanza,
Restricted,Limitato,
Review,Revisione,
Role,Ruolo,
Route,Itinerario,
Saturday,Sabato,
Session Defaults,Sessioni predefinite,
Sidebar Items,articoli Sidebar,
Slug,Slug,
Source,Fonte,
Start Date,Data di inizio,
Start Time,Ora di inizio,
Status,Stato,
Summary,Sommario,
Sunday,Domenica,
System Manager,System Manager,
Tags,Etichette,
Teal,Verde Acqua,
Template,Modelli,
Text,Testo,
Thursday,Giovedì,
Time,Tempo,
Title,Titolo,
To,A,
To Date,A Data,
Tuesday,Martedì,
Type,Tipo,
URL,URL,
UUID,UUID,
User,Utente,
User Field,Campo utente,
User Image,Immagine Utente,
Username,Nome Utente,
Value,Valore,
Value Change,Valore Change,
View Website,Visualizza sito web,
Web Page,Pagina Web,
Wednesday,Mercoledì,
