Active,アクティブ,
Address,住所,
Admin,管理者,
All,すべて,
Amount,額,
Approved,承認済,
Assignment,割当,
Cancelled,キャンセル,
Category,カテゴリー,
City,都市,
Client ID,クライアントID,
Client Secret,Client Secret,
Closed,クローズ,
Code,コード,
Color,色,
Comments,コメント,
Company,会社,
Company Name,（会社名）,
Complete,完了,
Completed,完了,
Condition,条件,
Confirmation Email Template,確認メールテンプレート,
Content,内容,
Country,国,
Currency,通貨,
Custom HTML,カスタムHTML,
Dashboard,ダッシュボード,
Date,日付,
Day,日,
Description,説明,
Disable Signup,登録を無効にする,
Disabled,無効,
Document,文書,
Duration,期間,
Email Sent,メール送信済,
Enable,有効にする,
Enabled,有効,
End Date,終了日,
Event,イベント,
Fail,失敗,
Failed,失敗,
Featured,特徴,
Feedback,フィードバック,
Field To Check,チェックするフィールド,
File Type,ファイルの種類,
Friday,金曜日,
From,から,
From Date,開始日,
Full Name,氏名,
Function,関数,
Host,ホスト,
Icon,アイコン,
Image,画像,
In Progress,進行中,
Inactive,非アクティブ,
Index,索引,
JavaScript,JavaScript,
Job,ジョブ,
Keyboard Shortcuts,キーボードショートカット,
Label,ラベル,
Language,言語,
Location,場所,
Medium,普通,
Meta Description,メタ記述,
Meta Image,メタ画像,
Milestone,マイルストーン,
Monday,月曜日,
New,新着,
Note,ノート,
Notifications,通知,
OAuth Client ID,OAuthクライアントID,
Offline,オフライン,
Online,オンライン,
Open,オープン,
Option 1,オプション1,
Option 2,オプション2,
Option 3,オプション3,
Output,出力,
PDF,PDF,
Password,パスワード,
Pending,保留,
Percentage,パーセンテージ,
Private,個人,
Progress,進捗,
Public,公開,
Published,公開済,
Published On,公開,
Rating,評価,
Reference DocName,参照DocName,
Reference DocType,参照DocType,
Reference Document Type,参照文書タイプ,
Rejected,拒否,
Reload,リロード,
Remote,リモート,
Restricted,制限あり,
Review,見直し,
Role,役割,
Route,ルート,
Saturday,土曜日,
Session Defaults,セッションのデフォルト,
Sidebar Items,サイドバーのアイテム,
Source,ソース,
Start Date,開始日,
Start Time,開始時間,
Status,ステータス,
Summary,概要,
Sunday,日曜日,
System Manager,システム管理者,
Tags,タグ,
Template,テンプレート,
Text,文章,
Thursday,木曜日,
Time,時間,
Title,タイトル,
To,に,
To Date,日付,
Tuesday,火曜日,
Type,タイプ,
URL,URL,
User,ユーザー,
User Field,ユーザーフィールド,
User Image,ユーザー画像,
Username,ユーザー名,
Value,値,
Value Change,値変更,
View Website,ウェブサイトを見る,
Web Page,ウェブページ,
Wednesday,水曜日,
