Active,활성화,
Address,주소,
Admin,관리자,
All,모두,
Amount,양,
Approved,인가 된,
Assignment,할당,
Cancelled,취소 된,
Category,범주,
City,시,
Client ID,클라이언트 ID,
Client Secret,고객 비밀,
Closed,닫힘,
Code,코드,
Color,색상,
Comments,비고,
Company,회사,
Company Name,회사 명,
Complete,완전한,
Completed,완료,
Condition,조건,
Confirmation Email Template,확인 이메일 템플릿,
Content,목차,
Country,국가,
Currency,통화,
Custom HTML,사용자 정의 HTML,
Dashboard,계기반,
Date,날짜,
Day,일,
Description,내용,
Disable Signup,회원 가입에게 사용 안 함,
Disabled,사용 안함,
Document,문서,
Duration,지속,
Email Sent,이메일 전송,
Enable,사용,
Enabled,사용,
End Date,끝 날짜,
Event,이벤트,
Fail,실패,
Failed,실패한,
Featured,특집,
Feedback,피드백,
Field To Check,확인할 필드,
File Type,파일 형식,
Friday,금요일,
From,로부터,
From Date,날짜,
Full Name,전체 이름,
Function,함수,
Host,주인,
Icon,상,
Image,영상,
In Progress,진행 중,
Inactive,비활성,
Index,목차,
JavaScript,자바스크립트,
Job,일,
Keyboard Shortcuts,키보드 단축키,
Label,라벨,
Language,언어,
Location,위치,
Medium,중간,
Meta Description,메타 설명,
Meta Image,메타 이미지,
Milestone,마일스톤,
Monday,월요일,
New,새로운,
Note,정보,
Notifications,알림,
OAuth Client ID,OAuth 클라이언트 ID,
Offline,오프라인,
Online,온라인으로,
Open,열기,
Option 1,옵션 1,
Option 2,옵션 2,
Option 3,옵션 3,
Output,산출,
PDF,PDF,
Password,비밀번호,
Pending,대기 중,
Percentage,백분율,
Private,개인,
Progress,진행,
Public,공공,
Published,출판,
Published On,에 게시,
Rating,평가,
Reference DocName,DocName 참조,
Reference DocType,참조 DocType,
Reference Document Type,참조 문서 유형,
Rejected,거부,
Reload,다시로드,
Remote,먼,
Restricted,한정된,
Review,리뷰,
Role,역할,
Route,노선,
Saturday,토요일,
Session Defaults,세션 기본값,
Sidebar Items,사이드 바 항목,
Source,소스,
Start Date,시작 날짜,
Start Time,시작 시간,
Status,상태,
Summary,개요,
Sunday,일요일,
System Manager,시스템 관리자,
Tags,태그,
Template,템플릿,
Text,글자,
Thursday,목요일,
Time,시각,
Title,제목,
To,에,
To Date,현재까지,
Tuesday,화요일,
Type,종류,
URL,URL,
User,사용자,
User Field,사용자 입력란,
User Image,사용자 이미지,
Username,사용자 이름,
Value,값,
Value Change,값 변경,
View Website,웹 사이트보기,
Web Page,웹 페이지,
Wednesday,수요일,
