Active,aktyvus,
Address,adresas,
Admin,Administratorius,
All,VISOS,
Amount,Suma,
Approved,patvirtinta,
Assignment,paskyrimas,
Cancelled,Atšauktas,
Category,Kategorija,
City,miestas,
Client ID,kliento ID,
Client Secret,klientas paslaptis,
Closed,Uždaryta,
Code,kodas,
Color,spalva,
Comments,Komentarai,
Company,Bendrovė,
Company Name,Įmonės pavadinimas,
Complete,pilnas,
Completed,užbaigtas,
Condition,būklė,
Confirmation Email Template,Patvirtinimo el. Pašto šablonas,
Content,Turinys,
Country,Šalis,
Currency,valiuta,
Custom HTML,Ypatingas HTML,
Dashboard,Prietaisų skydelis,
Date,Data,
Day,diena,
Description,Prekės ir paslaugos pavadinimas,
Disable Signup,išjungti prisiregistravimą,
Disabled,neįgalusis,
Document,dokumentas,
Duration,Trukmė,
Email Sent,Laiškas išsiųstas,
Enable,įgalinti,
Enabled,Įjungtas,
End Date,pabaigos data,
Event,renginys,
Fail,Nepavyko,
Failed,Nepavyko,
Featured,Panašūs,
Feedback,grįžtamasis ryšys,
Field To Check,"Laukas, kurį reikia patikrinti",
File Type,Failo tipas,
Friday,penktadienis,
From,Nuo,
From Date,nuo data,
Full Name,Pilnas vardas,
Function,Funkcija,
Host,kariuomenė,
Icon,Piktograma,
Image,Vaizdas,
In Progress,&quot;Progress&quot;,
Inactive,Neaktyvus,
Index,Indeksas,
JavaScript,&quot;javascript&quot;,
Job,Darbas,
Keyboard Shortcuts,Klaviatūros nuorodos,
Label,Etiketė,
Language,kalba,
Location,vieta,
Medium,vidutinis,
Meta Description,Meta aprašymas,
Meta Image,Meta vaizdas,
Milestone,Etapas,
Monday,pirmadienis,
New,Nauja,
Note,Pastaba,
Notifications,Pranešimai,
OAuth Client ID,„OAuth“ kliento ID,
Offline,Atsijungęs,
Online,Prisijunges,
Open,Atviras,
Option 1,1 variantas,
Option 2,2 variantas,
Option 3,3 variantas,
Output,produkcija,
PDF,PDF,
Password,slaptažodis,
Pending,kol,
Percentage,Procentas,
Private,privatus,
Progress,Progresas,
Public,visuomenės,
Published,paskelbta,
Published On,paskelbta,
Rating,Reitingas,
Reference DocName,Nuoroda DocName,
Reference DocType,Nuoroda „DocType“,
Reference Document Type,Atskaitos dokumento tipas,
Rejected,Atstumtas,
Reload,Perkrauti,
Remote,Nuotolinis,
Restricted,Ribotas,
Review,Apžvalga,
Role,vaidmuo,
Route,Maršrutas,
Saturday,šeštadienis,
Session Defaults,Sesijos numatytieji nustatymai,
Sidebar Items,Sidebar daiktai,
Source,šaltinis,
Start Date,Pradžios data,
Start Time,Pradžios laikas,
Status,Statusas,
Summary,Santrauka,
Sunday,sekmadienis,
System Manager,sistemos direktorius,
Tags,Žymos,
Template,šablonas,
Text,tekstas,
Thursday,ketvirtadienis,
Time,Laikas,
Title,Pavadinimas,
To,Į,
To Date,data,
Tuesday,antradienis,
Type,tipas,
URL,URL,
User,Vartotojas,
User Field,Vartotojo laukas,
User Image,vartotojas Vaizdo,
Username,Vartotojo vardas,
Value,Vertė,
Value Change,Reikšmė pokytis,
View Website,Peržiūrėti svetainė,
Web Page,Tinklo puslapis,
Wednesday,trečiadienis,
