Active,Aktīvs,
Address,Adrese,
Admin,Administrators,
All,Visi,
Amount,Summa,
Approved,Apstiprināts,
Assignment,uzdevums,
Cancelled,Atcelts,
Category,Kategorija,
City,Pilsēta,
Client ID,Klienta ID,
Client Secret,Klientu Secret,
Closed,Slēgts,
Code,Kods,
Color,Krāsa,
Comments,Komentāri,
Company,Kompānija,
Company Name,Uzņēmuma nosaukums,
Complete,Pilnīgs,
Completed,Pabeigts,
Condition,Nosacījums,
Confirmation Email Template,Apstiprinājuma e-pasta veidne,
Content,Saturs,
Country,Valsts,
Currency,Valūta,
Custom HTML,Custom HTML,
Dashboard,Mērinstrumentu panelis,
Date,Datums,
Day,diena,
Description,Apraksts,
Disable Signup,Atslēgt Reģistrācija,
Disabled,Invalīdiem,
Document,Dokuments,
Duration,Ilgums,
Email Sent,Nosūtīts e-pasts,
Enable,Dot iespēju,
Enabled,Enabled,
End Date,Beigu datums,
Event,Notikums,
Fail,Neveiksme,
Failed,Neizdevās,
Featured,Piedāvātie,
Feedback,Atsauksmes,
Field To Check,Pārbaudāmais lauks,
File Type,Faila tips,
Friday,Piektdiena,
From,No,
From Date,No Datums,
Full Name,Pilns nosaukums,
Function,Funkcija,
Host,saimnieks,
Icon,Ikona,
Image,Attēls,
In Progress,Gaitā,
Inactive,Neaktīvs,
Index,Indekss,
JavaScript,JavaScript,
Job,Ījabs,
Keyboard Shortcuts,Tastatūras īsceļi,
Label,Etiķete,
Language,Valoda,
Location,Vieta,
Medium,Medijs,
Meta Description,Meta apraksts,
Meta Image,Meta attēls,
Milestone,Milestone,
Monday,Pirmdiena,
New,Jauns,
Note,Piezīme,
Notifications,Paziņojumi,
OAuth Client ID,OAuth klienta ID,
Offline,Bezsaistē,
Online,Online,
Open,Atvērts,
Option 1,1. variants,
Option 2,2. variants,
Option 3,3. variants,
Output,izvade,
PDF,PDF,
Password,Parole,
Pending,Līdz,
Percentage,procentuālā attiecība,
Private,Privāts,
Progress,progress,
Public,Valsts,
Published,Izdots,
Published On,Publicēts On,
Rating,novērtējums,
Reference DocName,Atsauce DocName,
Reference DocType,Atsauce DocType,
Reference Document Type,Atsauces dokuments Type,
Rejected,Noraidīts,
Reload,Pārlādēt,
Remote,Remote,
Restricted,Ierobežots,
Review,Pārskats,
Role,Loma,
Route,Maršruts,
Saturday,Sestdiena,
Session Defaults,Sesijas noklusējumi,
Sidebar Items,Sidebar Items,
Source,Avots,
Start Date,Sākuma datums,
Start Time,Sākuma laiks,
Status,Stāvoklis,
Summary,Kopsavilkums,
Sunday,Svētdiena,
System Manager,System Manager,
Tags,Tags,
Template,Template,
Text,Teksts,
Thursday,Ceturtdiena,
Time,Laiks,
Title,Virsraksts,
To,Uz,
To Date,Līdz šim,
Tuesday,Otrdiena,
Type,Tips,
URL,URL,
User,Lietotājs,
User Field,Lietotāja lauks,
User Image,Lietotājs Image,
Username,Lietotājvārds,
Value,Vērtība,
Value Change,Vērtību maiņa,
View Website,Skatīt Website,
Web Page,Web lapa,
Wednesday,Trešdiena,
