Active,सक्रिय,
Address,पत्ता,
Admin,प्रशासन,
All,सर्व,
Amount,रक्कम,
Approved,मंजूर,
Assignment,नेमणूक,
Cancelled,रद्द केले,
Category,वर्ग,
City,शहर,
Client ID,क्लायंट ID,
Client Secret,क्लायंट गुपित,
Closed,बंद,
Code,कोड,
Color,रंग,
Comments,टिप्पण्या,
Company,कंपनी,
Company Name,कंपनी नाव,
Complete,पूर्ण,
Completed,पूर्ण,
Condition,अट,
Confirmation Email Template,पुष्टीकरण ईमेल टेम्पलेट,
Content,सामग्री,
Country,देश,
Currency,चलन,
Custom HTML,सानुकूल HTML,
Dashboard,डॅशबोर्ड,
Date,तारीख,
Day,दिवस,
Description,वर्णन,
Disable Signup,साइन अप अक्षम करा,
Disabled,अपंग,
Document,दस्तऐवज,
Duration,कालावधी,
Email Sent,ई-मेल पाठविले,
Enable,सक्षम,
Enabled,सक्षम,
End Date,शेवटची तारीख,
Event,कार्यक्रम,
Fail,अपयशी,
Failed,अयशस्वी,
Featured,वैशिष्ट्यपूर्ण,
Feedback,अभिप्राय,
Field To Check,फील्ड चेक,
File Type,दस्तावेजाचा प्रकार,
Friday,शुक्रवारी,
From,पासून,
From Date,तारखेपासून,
Full Name,पूर्ण नाव,
Function,कार्य,
Host,यजमान,
Icon,चिन्ह,
Image,प्रतिमा,
In Progress,प्रगतीपथावर,
Inactive,निष्क्रिय,
Index,निर्देशांक,
JavaScript,Javascript,
Job,नोकरी,
Keyboard Shortcuts,कीबोर्ड शॉर्टकट,
Label,लेबल,
Language,भाषा,
Location,स्थान,
Medium,मध्यम,
Meta Description,मेटा वर्णन,
Meta Image,मेटा प्रतिमा,
Milestone,मैलाचा दगड,
Monday,सोमवार,
New,नवीन,
Note,टीप,
Notifications,सूचना,
OAuth Client ID,OAuth क्लायंट आयडी,
Offline,ऑफलाइन,
Online,ऑनलाइन,
Open,ओपन,
Option 1,पर्याय 1,
Option 2,पर्याय 2,
Option 3,पर्याय 3,
Output,उत्पादन,
PDF,PDF,
Password,पासवर्ड,
Pending,प्रलंबित,
Percentage,टक्केवारी,
Private,खाजगी,
Progress,प्रगती,
Public,सार्वजनिक,
Published,प्रकाशित,
Published On,रोजी प्रकाशित,
Rating,रेटिंग,
Reference DocName,संदर्भ डॉकनेम,
Reference DocType,संदर्भ डॉकटाइप,
Reference Document Type,संदर्भ दस्तऐवज प्रकार,
Rejected,नाकारल्याचे,
Reload,रीलोड करा,
Remote,दूरस्थ,
Restricted,प्रतिबंधित,
Review,पुनरावलोकन,
Role,भूमिका,
Route,मार्ग,
Saturday,शनिवारी,
Session Defaults,सत्र डीफॉल्ट,
Sidebar Items,साइडबार आयटम,
Source,स्रोत,
Start Date,प्रारंभ तारीख,
Start Time,प्रारंभ वेळ,
Status,स्थिती,
Summary,सारांश,
Sunday,रविवारी,
System Manager,प्रणाली व्यवस्थापक,
Tags,टॅग्ज,
Template,साचा,
Text,मजकूर,
Thursday,गुरुवारी,
Time,वेळ,
Title,शीर्षक,
To,करण्यासाठी,
To Date,तारीख करण्यासाठी,
Tuesday,मंगळवारी,
Type,प्रकार,
URL,URL,
User,वापरकर्ता,
User Field,वापरकर्ता फील्ड,
User Image,वापरकर्ता प्रतिमा,
Username,वापरकर्तानाव,
Value,मूल्य,
Value Change,मूल्य बदला,
View Website,वेबसाइट पहा,
Web Page,वेब पृष्ठ,
Wednesday,बुधवारी,
