About,Om,
Accepted,Akseptert,
Account ID,Konto ID,
Account Name,Konto Navn,
Active,Aktiv,
Address,Adresse,
Amount,Beløp,
Amount (USD),Beløp (USD),
Approved,Godkjent,
Apps,Apper,
Assignment,Tildeling,
Badge,Emblem,
Badge Description,Emblem Beskrivelse,
Badge Image,Emblem Bilde,
Batch,Gruppe,
Cancelled,Avbrutt,
Category,Kategori,
Color,Farge,
Company,Selskap,
Completed,Fullført,
Contact Us,Kontakt oss,
Content,Innhold,
Custom HTML,Egendefinert HTML,
Day,Dag,
Emails,E-poster,
Enable,Aktiver,
Enabled,Aktivert,
Event,Event,
Expiry Date,Utløpsdato,
Fail,Ikke bestått,
File Type,Filtype,
Full Name,Fullt navn,
Function,Funksjon,
General,Generell,
Icon,Ikon,
In Progress,Under behandling,
Inactive,Inaktiv,
Index,Indeks,
Label,Etikett,
Language,Språk,
Location,Sted,
Location Preference,Stedspreferanse,
Meta Description,Meta beskrivelse,
Meta Image,Metabilde,
Milestone,Milepæl,
Notifications,Varsler,
OAuth Client ID,OAuth klient-ID,
Option 1,Alternativ 1,
Option 2,Alternativ 2,
Option 3,Alternativ 3,
Output,Utdata,
PDF,PDF,
Pass,Ok,
Passing Percentage,Prosentandel bestått,
Password,Passord,
Payment for Document Type,Betaling vedr. DocType,
Percentage,Prosentandel,
Percentage (e.g. 70%),Prosentandel (f.eks. 70 %),
Preferred Location,Foretrukket sted,
Private,Privat,
Public,Offentlig,
Published,Publisert,
Reference DocType,Referanse-dokumenttype (DocType),
Reference Document Type,Referanse-DocType,
Result,Resultat,
Role,Rolle,
Schedule,Tidsplan,
Status,Status,
Summary,Sammendrag,
System Manager,Systemansvarlig,
Tags,Stikkord,
Time,Tidspunkt,
URL,URL,
UUID,UUID,
User,Bruker,
Username,Brukernavn,
Web Page,Nettside,
