Active,Actief,
Address,Adres,
Admin,beheerder,
All,Allemaal,
Amount,Bedrag,
Approved,Aangenomen,
Assignment,toewijzing,
Cancelled,Geannuleerd,
Category,Categorie,
City,City,
Client ID,klant identificatie,
Client Secret,Client Secret,
Closed,Gesloten,
Code,Code,
Color,Kleur,
Comments,Reacties,
Company,Bedrijf,
Company Name,Bedrijfsnaam,
Complete,Voltooien,
Completed,Voltooid,
Condition,Voorwaarde,
Confirmation Email Template,E-mailsjabloon voor bevestiging,
Content,Inhoud,
Country,Land,
Currency,Valuta,
Custom HTML,Aangepaste HTML,
Dashboard,Dashboard,
Date,Datum,
Day,Dag,
Description,Beschrijving,
Disable Signup,Uitschakelen Inschrijven,
Disabled,Uitgeschakeld,
Document,Document,
Duration,Looptijd,
Email Sent,E-mail verzonden,
Enable,in staat stellen,
Enabled,Ingeschakeld,
End Date,Einddatum,
Event,Evenement,
Fail,mislukken,
Failed,Gefaald,
Featured,Uitgelicht,
Feedback,Terugkoppeling,
Field To Check,Te controleren veld,
File Type,Bestandstype,
Friday,Vrijdag,
From,Van,
From Date,Van Datum,
Full Name,Volledige naam,
Function,Functie,
Host,gastheer,
Icon,Icoon,
Image,Afbeelding,
In Progress,Bezig,
Inactive,Inactief,
Index,Index,
JavaScript,JavaScript,
Job,job,
Keyboard Shortcuts,Toetsenbord sneltoetsen,
Label,Label,
Language,Taal,
Location,Locatie,
Medium,Medium,
Meta Description,Meta omschrijving,
Meta Image,Meta afbeelding,
Milestone,Mijlpaal,
Monday,Maandag,
New,Nieuw,
Note,Opmerking,
Notifications,meldingen,
OAuth Client ID,OAuth-client-ID,
Offline,offline,
Online,Online,
Open,Open,
Option 1,Optie 1,
Option 2,Optie 2,
Option 3,Optie 3,
Output,uitgang,
PDF,PDF,
Password,Wachtwoord,
Pending,In afwachting van,
Percentage,Percentage,
Private,Prive-,
Progress,Vooruitgang,
Public,Publiek,
Published,Gepubliceerd,
Published On,Gepubliceerd op,
Rating,Beoordeling,
Reference DocName,Referentie DocName,
Reference DocType,Referentie DocType,
Reference Document Type,Referentie Document Type,
Rejected,Afgewezen,
Reload,Herladen,
Remote,afgelegen,
Restricted,Beperkt,
Review,Beoordeling,
Role,Rol,
Route,Route,
Saturday,Zaterdag,
Session Defaults,Standaardwaarden sessie,
Sidebar Items,sidebar items,
Source,Bron,
Start Date,Startdatum,
Start Time,Starttijd,
Status,Status,
Summary,Overzicht,
Sunday,Zondag,
System Manager,System Manager,
Tags,labels,
Template,Sjabloon,
Text,Tekst,
Thursday,Donderdag,
Time,Tijd,
Title,Titel,
To,Naar,
To Date,Tot Datum,
Tuesday,Dinsdag,
Type,Type,
URL,URL,
User,Gebruiker,
User Field,Gebruikersveld,
User Image,Gebruiker Afbeelding,
Username,Gebruikersnaam,
Value,Waarde,
Value Change,Waarde Veranderen,
View Website,Bekijk Website,
Web Page,Webpagina,
Wednesday,Woensdag,
