Active,Aktiv,
Address,Adresse,
Admin,admin,
All,Alle,
Amount,Beløp,
Approved,Godkjent,
Assignment,Tildeling,
Cancelled,avbrutt,
Category,Kategori,
City,By,
Client ID,Klient-ID,
Client Secret,Klientshemmelighet,
Closed,Stengt,
Code,Kode,
Color,Farge,
Comments,Kommentarer,
Company,Selskap,
Company Name,Selskapsnavn,
Complete,Fullstendig,
Completed,fullført,
Condition,Tilstand,
Confirmation Email Template,Bekreftelses-e-postmal,
Content,Innhold,
Country,Land,
Currency,Valuta,
Custom HTML,Custom HTML,
Dashboard,dashbord,
Date,Dato,
Day,Dag,
Description,Beskrivelse,
Disable Signup,Deaktiver registrering,
Disabled,Funksjonshemmede,
Document,Dokument,
Duration,Varighet,
Email Sent,E-post sendt,
Enable,Aktiver,
Enabled,Aktivert,
End Date,Sluttdato,
Event,Hendelses,
Fail,fail,
Failed,Mislyktes,
Featured,Utvalgt,
Feedback,Tilbakemelding,
Field To Check,Felt å sjekke,
File Type,Filtype,
Friday,Fredag,
From,Fra,
From Date,Fra Dato,
Full Name,Fullt Navn,
Function,Funksjon,
Host,Vert,
Icon,Ikon,
Image,Bilde,
In Progress,I prosess,
Inactive,inaktiv,
Index,Hovedsiden,
JavaScript,Javascript,
Job,Jobb,
Keyboard Shortcuts,Tastatursnarveier,
Label,Etiketten,
Language,Språk,
Location,Beliggenhet,
Medium,Medium,
Meta Description,Meta Beskrivelse,
Meta Image,Metabilde,
Milestone,Milestone,
Monday,Mandag,
New,Ny,
Note,Notat,
Notifications,Varsler,
OAuth Client ID,OAuth-klient-ID,
Offline,offline,
Online,på nett,
Open,Åpen,
Option 1,Alternativ 1,
Option 2,Alternativ 2,
Option 3,Alternativ 3,
Output,Produksjon,
PDF,PDF,
Password,Passord,
Pending,Avventer,
Percentage,Prosentdel,
Private,Privat,
Progress,Framgang,
Public,Offentlig,
Published,Publisert,
Published On,Publisert på,
Rating,Vurdering,
Reference DocName,Referanse DocName,
Reference DocType,Referanse DocType,
Reference Document Type,Reference Document Type,
Rejected,Avvist,
Reload,Last,
Remote,Remote,
Restricted,begrenset,
Review,Anmeldelse,
Role,Rolle,
Route,Rute,
Saturday,Lørdag,
Session Defaults,Økt mislighold,
Sidebar Items,Sidebar Items,
Source,Source,
Start Date,Startdato,
Start Time,Starttid,
Status,Status,
Summary,Sammendrag,
Sunday,Søndag,
System Manager,System Manager,
Tags,Tags,
Template,Mal,
Text,Tekst,
Thursday,Torsdag,
Time,Tid,
Title,Tittel,
To,Til,
To Date,To Date,
Tuesday,Tirsdag,
Type,Type,
URL,URL,
User,Bruker,
User Field,Brukerfelt,
User Image,Brukerbilde,
Username,Brukernavn,
Value,Verdi,
Value Change,Verdiendring,
View Website,Vis nettstedet,
Web Page,Nettside,
Wednesday,Onsdag,
