About,O programie,
Accepted,Zaakceptowano,
Active,Aktywny,
Address,Adres,
Admin,Admin,
All,Wszystko,
Amount,Wartość,
Approved,Zatwierdzono,
Apps,Aplikacje,
Assignment,Zadanie,
Attendees,Uczestnicy,
Batch Description,Opis partii,
Batch Details,Szczegóły partii,
Body,Treść,
Cancelled,Anulowany,
Category,Kategoria,
City,Miasto,
Client ID,ID klienta,
Client Secret,Tajny klucz klienta,
Closed,Zamknięte,
Code,Kod,
Color,Kolor,
Comments,Komentarze,
Company,Firma,
Company Details,Dane Firmy,
Company Name,Nazwa firmy,
Complete,Kompletny,
Completed,Zakończono,
Condition,Warunek  ,
Confirmation Email Template,Szablon e-maila z potwierdzeniem,
Content,Treść  ,
Country,Kraj,
Currency,Waluta,
Custom HTML,Niestandardowy HTML,
Cyan,Cyjan,
Dashboard,Deska rozdzielcza,
Date,Data,
Day,Dzień  ,
Description,Opis,
Disable Signup,Wyłącz rejestrację,
Disabled,Nieaktywny,
Document,Dokument,
Duration,Trwanie,
Email Sent,E-mail wysłany,
Emails,E-maile,
Enable,Włączyć,
Enabled,Włączone,
End Date,Data zakończenia,
End Time,Godzina zakończenia,
Event,Zdarzenie,
Expiry Date,Data ważności,
Explanation ,Wyjaśnienie ,
Fail,Nie powiodło się.,
Failed,Nie powiodło się.,
Featured,Opisany,
Feedback,Informacja zwrotna,
Field To Check,Pole do sprawdzenia,
File Type,Typ pliku,
Friday,Piątek,
From,Od,
From Date,Od daty,
Full Name,Pełne imię i nazwisko,
Function,Funkcjonować,
General,Ogólne,
Host,Gospodarz,
Icon,Ikona,
Image,Obraz,
In Progress,W trakcie,
Inactive,Nieaktywny,
Index,Indeks,
Industry,Przedsiębiorstwo,
Issue Date,Data zdarzenia,
JavaScript,javascript,
Job,Praca,
Job Title,Tytuł zadania,
Keyboard Shortcuts,Skróty klawiszowe,
Label,Etykieta,
Language,Język,
Location,Lokacja,
Manager,Menager,
Medium,Średni,
Meta Description,Opis meta,
Meta Image,Obraz meta,
Milestone,Kamień milowy,
Monday,Poniedziałek,
New,Nowy,
Note,Notatka,
Notifications,Powiadomienia,
OAuth Client ID,Identyfikator klienta OAuth,
Offline,Offline,
Online,Online,
Open,otwarty,
Option,Opcja,
Option 1,Opcja 1,
Option 2,Opcja 2,
Option 3,Opcja 3,
Option 4,Opcja 4,
Orange,Pomarańczowy,
Output,Wydajność,
PDF,PDF,
Passed,Zdał,
Password,Hasło,
Payment Gateway,Bramki płatności,
Pending,W toku,
Percentage,Procent,
Private,Prywatny,
Progress,Postępu,
Public,Publiczny,
Published,Opublikowany,
Published On,Opublikowany,
Purple,Fioletowy,
Rating,Ocena,
Reference DocName,Referencyjna nazwa DocName,
Reference DocType,Typ dokumentu referencji,
Reference Document Type,Typ dokumentu referencyjnego,
Rejected,Odrzucono,
Reload,Przeładuj,
Remote,Zdalny,
Restricted,Ograniczony,
Result,Wynik,
Review,Przejrzeć,
Role,Rola,
Route,Trasa,
Saturday,Sobota,
Schedule,Harmonogram,
Scope,Zakres,
Session Defaults,Domyślne ustawienia sesji,
Sidebar Items,Elementy paska bocznego,
Source,Źródło,
Start Date,Data rozpoczęcia,
Start Time,Czas rozpoczęcia,
Status,Status,
Summary,Podsumowanie,
Sunday,Niedziela,
System Manager,Menedżer systemu,
Tags,Tagi,
Template,Szablon,
Text,Tekst,
Thursday,czwartek,
Time,Czas,
Title,Tytuł,
To,Do,
To Date,Do daty,
Tuesday,Wtorek,
Type,Typ,
URL,URL,
User,Użytkownik,
User Field,Pole użytkownika,
User Image,Zdjęcie Użytkownika,
Username,Nazwa użytkownika,
Value,Wartość,
Value Change,Zmień Wartość,
View Website,Zobacz stronę WWW,
Web Page,Strona,
Wednesday,Środa,
Yellow,Żółty,
