Account Name,Nome da Conta,
Active,Ativo,
Address,Endereço,
Admin,Administrador,
All,Todos,
Amber,Âmbar,
Amount,Montante,
Approved,Aprovado,
Assignment,Tarefa,
Attendees,Participantes,
Batch,Lote,
Blue,Azul,
Branch,Filial,
Cancelled,Cancelado,
Category,Categoria,
City,Cidade,
Client ID,ID do Cliente,
Client Secret,Segredo do cliente,
Closed,Fechado,
Code,Código,
Color,Cor,
Comments,Comentários,
Company,Empresa,
Company Name,Nome da Empresa,
Complete,Concluído,
Completed,Concluído,
Condition,Condição,
Confirmation Email Template,Modelo de email de confirmação,
Content,Conteúdo,
Contract,Contrato,
Country,País,
Currency,Moeda,
Custom HTML,HTML Personalizado,
Cyan,Ciano,
Dashboard,Dashboard,
Date,Data,
Day,Dia,
Description,Descrição,
Disable Signup,Desativar Registre-se,
Disabled,Desativado,
Document,Documento,
Duration,Duração,
Email Sent,Email enviado,
Enable,Permitir,
Enabled,Ativado,
End Date,Data Final,
Event,Evento,
Fail,Falha,
Failed,Falhou,
Featured,Destaque,
Feedback,Comentários,
Field To Check,Campo a verificar,
File Type,Tipo de arquivo,
Friday,Sexta-feira,
From,De,
From Date,Data De,
Full Name,Nome Completo,
Function,Função,
Gray,Cinza,
Green,Verde,
Host,Host,
Icon,Ícone,
Image,Imagem,
In Progress,Em Progresso,
Inactive,Inativo,
Index,Índice,
JavaScript,Javascript,
Job,Trabalho,
Keyboard Shortcuts,Atalhos do teclado,
Label,Rótulo,
Language,Idioma,
Location,Localização,
Medium,Médio,
Meta Description,Meta Descrição,
Meta Image,Meta Imagem,
Milestone,Milestone,
Monday,Segunda-feira,
New,Novo,
Note,Nota,
Notifications,Notificações,
OAuth Client ID,ID do cliente OAuth,
Offline,Offline,
Online,Online,
Open,Aberto,
Option 1,Opção 1,
Option 2,Opção 2,
Option 3,Opção 3,
Orange,Laranja,
Organization,Organização,
Output,Saída,
PDF,PDF,
Password,Senha,
Payment,Pagamento,
Payment Received,Pagamento Recebido,
Pending,Pendente,
Percentage,Percentagem,
Pink,Rosa,
Pricing,Precificação,
Private,Privado,
Progress,Progresso,
Public,Público,
Published,Publicado,
Published On,Publicado no,
Purple,Roxo,
Python,Python,
Rating,Rating,
Red,Vermelho,
Reference DocName,Nome do Documento de Referência,
Reference DocType,DocType de Referência,
Reference Document Type,Referência Tipo de Documento,
Rejected,Rejeitado,
Reload,Recarregar,
Remote,Remoto,
Restricted,Restrito,
Resume,Currículo,
Review,Reveja,
Role,Função,
Route,Rota,
Saturday,Sábado,
Session Defaults,Padrões de Sessão,
Sidebar Items,Itens da barra lateral,
Source,Origem,
Start Date,Data de Início,
Start Time,Horário de Início,
Status,Status,
Summary,Resumo,
Sunday,Domingo,
System Manager,Administrador do Sistema,
Tags,Tags,
Template,Modelo,
Text,Texto,
Thursday,Quinta-feira,
Time,Tempo,
Title,Título,
To,Para,
To Date,Até a Data,
Tuesday,Terça-feira,
Type,Tipo,
URL,URL,
User,Usuário,
User Field,Campo do usuário,
User Image,Imagem do Usuário,
Username,Nome de Usuário,
Value,Valor,
Value Change,Mudança de Valor,
View Website,Ver  Site,
Web Page,Página Web,
Wednesday,Quarta-feira,
Yellow,Amarelo,
