Account Name,Nome da Conta,
Active,Ativo,
Address,Endereço,
Admin,Admin,
All,Todos,
Amount,Montante,
Approved,Aprovado,
Assignment,Atribuição,
Attendees,Participantes,
Cancelled,Cancelado,
Category,Categoria,
City,Cidade,
Client ID,ID do Cliente,
Client Secret,Segredo do cliente,
Closed,Fechado,
Code,Código,
Color,Cor,
Comments,Comentários,
Company,Empresa,
Company Name,Nome da Empresa,
Complete,Concluído,
Completed,Concluído,
Condition,Condição,
Confirmation Email Template,Modelo de email de confirmação,
Content,Conteúdo,
Country,País,
Currency,Moeda,
Custom HTML,HTML Personalizada,
Dashboard,painel de controle,
Date,Data,
Day,Dia,
Description,Descrição,
Disable Signup,Desativar Inscrição,
Disabled,Desativado,
Document,Documento,
Duration,Duração,
Email Sent,Email Enviado,
Enable,permitir,
Enabled,Ativado,
End Date,Data de Término,
Event,Evento,
Fail,Falhou,
Failed,Falhou,
Featured,Destaque,
Feedback,Comentários,
Field To Check,Campo a verificar,
File Type,Tipo de arquivo,
Friday,Sexta-feira,
From,De,
From Date,Data De,
Full Name,Nome Completo,
Function,Função,
Host,Anfitrião,
Icon,Ícone,
Image,Imagem,
In Progress,Em progresso,
Inactive,Inativo,
Index,Índice,
JavaScript,Javascript,
Job,Trabalho,
Keyboard Shortcuts,Atalhos do teclado,
Label,Rótulo,
Language,Linguagem,
Location,Localização,
Medium,Médio,
Meta Description,Meta Descrição,
Meta Image,Meta Imagem,
Milestone,Marco miliário,
Monday,Segunda-feira,
New,Novo,
Note,Nota,
Notifications,Notificações,
OAuth Client ID,ID do cliente OAuth,
Offline,Off-line,
Online,Online,
Open,Abrir,
Option 1,Opção 1,
Option 2,Opção 2,
Option 3,Opção 3,
Organization,Organização,
Output,Saída,
PDF,PDF,
Password,Senha,
Pending,Pendente,
Percentage,Percentagem,
Private,Privado,
Progress,Progresso,
Public,Público,
Published,Publicado,
Published On,Publicado Em,
Rating,Avaliação,
Reference DocName,DocName de referência,
Reference DocType,Reference DocType,
Reference Document Type,Referência Tipo de Documento,
Rejected,Rejeitado,
Reload,recarregar,
Remote,Controlo remoto,
Restricted,Restrito,
Review,Reveja,
Role,Função,
Route,Rota,
Saturday,Sábado,
Session Defaults,Padrões de Sessão,
Sidebar Items,Itens Sidebar,
Source,Fonte,
Start Date,Data de Início,
Start Time,Hora de início,
Status,Status,
Summary,Resumo,
Sunday,Domingo,
System Manager,System Manager,
Tags,Tag,
Template,Modelo,
Text,Caixa de Texto,
Thursday,Quinta-feira,
Time,Tempo,
Title,Título,
To,Para,
To Date,Até à Data,
Tuesday,Terça-feira,
Type,Tipo,
URL,URL,
User,Do utilizador,
User Field,Campo do usuário,
User Image,Imagem do utilizador,
Username,Nome do utilizador,
Value,Valor,
Value Change,Valor Variação,
View Website,Veja site,
Web Page,Página Web,
Wednesday,Quarta-feira,
Yellow,Amarelo,
