Active,Activ,
Address,Adresă,
Admin,admin,
All,Toate,
Amount,Sumă,
Approved,Aprobat,
Assignment,Misiune,
Cancelled,Anulat,
Category,Categorie,
City,Oraș,
Client ID,ID-ul clientului,
Client Secret,Secret Client,
Closed,Închis,
Code,Cod,
Color,Culoare,
Comments,Comentarii,
Company,Compania,
Company Name,Denumire Furnizor,
Complete,Complet,
Completed,Finalizat,
Condition,Condiție,
Confirmation Email Template,Șablon de e-mail de confirmare,
Content,Continut,
Country,Ţară,
Currency,Valută,
Custom HTML,Personalizat HTML,
Dashboard,Tablou de bord,
Date,Dată,
Day,Zi,
Description,Descriere,
Disable Signup,Dezactivați Inregistreaza-te,
Disabled,Dezactivat,
Document,Studiu de caz,
Duration,Durată,
Email Sent,E-mail trimis,
Enable,Activare,
Enabled,Activat,
End Date,Dată finalizare,
Event,Eveniment,
Fail,eșua,
Failed,A eșuat,
Featured,Recomandate,
Feedback,Reactie,
Field To Check,Câmp de verificat,
File Type,Tip fișier,
Friday,Vineri,
From,De la,
From Date,Din data,
Full Name,Nume complet,
Function,Funcţie,
Host,Gazdă,
Icon,icoană,
Image,Imagine,
In Progress,In progres,
Inactive,Inactiv,
Index,Index,
JavaScript,JavaScript,
Job,Loc de munca,
Keyboard Shortcuts,Comenzile rapide de la tastatură,
Label,Eticheta,
Language,Limba,
Location,Închiriere,
Medium,Medie,
Meta Description,Meta Descriere,
Meta Image,Meta Image,
Milestone,Milestone,
Monday,Luni,
New,Nou,
Note,Notă,
Notifications,notificări,
OAuth Client ID,ID client OAuth,
Offline,Deconectat,
Online,Pe net,
Open,Deschide,
Option 1,Opțiunea 1,
Option 2,Opțiunea 2,
Option 3,Opțiunea 3,
Output,producție,
PDF,PDF,
Password,Parolă,
Pending,În așteptarea,
Percentage,Procent,
Private,Privat,
Progress,progres,
Public,Public,
Published,Data publicării,
Published On,Publicat în data de,
Rating,evaluare,
Reference DocName,Referință DocName,
Reference DocType,DocType de referință,
Reference Document Type,Referință Document Type,
Rejected,Respinse,
Reload,Reîncarcă,
Remote,La Distanță,
Restricted,restricționat,
Review,Revizuire,
Role,Rol,
Route,Traseu,
Saturday,Sâmbătă,
Session Defaults,Valorile implicite ale sesiunii,
Sidebar Items,Articole Sidebar,
Source,Sursă,
Start Date,Data începerii,
Start Time,Ora de începere,
Status,Status,
Summary,Rezumat,
Sunday,Duminică,
System Manager,System Manager,
Tags,Etichete,
Template,Șablon,
Text,Text,
Thursday,Joi,
Time,Timp,
Title,Titlu,
To,La,
To Date,La Data,
Tuesday,Marți,
Type,Tip,
URL,URL-ul,
User,Utilizator,
User Field,Câmpul utilizator,
User Image,Imagine utilizator,
Username,Nume de utilizator,
Value,Valoare,
Value Change,Valoarea variației,
View Website,Vezi site-ul,
Web Page,Pagină web,
Wednesday,Miercuri,
