About,О,
Accepted,Принял,
Account ID,ID аккаунта,
Active,Активен,
Address,Адрес,
Admin,Админ,
All,Все,
Allow Job Posting From Website,Разрешить размещение вакансий на веб-сайте,
Allow Self Enrollment,Разрешить самостоятельную регистрацию,
Allow accessing future dates,Разрешить доступ к будущим датам,
Amount,Сумма,
Amount (USD),Сумма,
Amount with GST,Сумма с НДС,
Answer,Отвечать,
Apply GST for India,Применить НДС,
Apply Rounding on Equivalent,Применяйте округление для эквивалента,
Approved,Утвержден,
Assessment,Оценка,
Assessment Name,Название оценки,
Assessment Type,Тип оценки,
Assessments,Оценки,
Assignment,Назначение,
Assignment Attachment,Прикрепленное задание,
Assignment Title,Название задания,
Assignment will appear at the bottom of the lesson.,Задание появится в конце урока.,
Auto Assign,Автоназначение,
Auto Recording,Авто. запись,
Badge,Бейдж,
Badge Description,Описание бейджа,
Badge Image,Изображение бейджа,
Batch Confirmation Template,Шаблон подтверждения группы,
Batch Course,Группа курса,
Batch Description,Описание группы,
Batch Details,Подробности группы,
Batch Details Raw,Подробности группы Необработанные,
Batch Evaluator,Оценщик группы,
Batch Name,Наименование группы,
Batch Old,Старая группа,
Batch Settings,Настройки группы,
Batches,Группы,
Begin Date,Дата начала,
Billing Details,Платёжные реквизиты,
Billing Name,Имя плательщика,
Body,Содержимое,
CGPA/4,CGPA/4,
Cancelled,отменен,
Category,Категория,
Certificate,Сертификат,
Certificate Email Template,Шаблон письма с сертификатом,
Certification,Сертификация,
Certification Name,Название сертификации,
Chapter,Глава,
Chapter Reference,Ссылка на главу,
Chapters,Главы,
Choices,Варианты ответов,
City,Город,
Client ID,ID клиента,
Client Secret,Секретный ключ клиента,
Closed,Закрыт,
Cloud,Облако,
Code,Код,
Cohort,Группа,
Cohort Join Request,Запрос на вступление в группу,
Cohort Mentor,Ментор группы,
Cohort Staff,Персоны группы,
Cohort Subgroup,Подгруппа,
Cohort Web Page,Веб-страница группы,
Color,Цвет,
Comments,Комментарии,
Company,Организация,
Company Details,Информация о компании,
Company Email Address,Email Компании,
Company Logo,Логотип Компании,
Company Name,Название компании,
Company Website,Вебсайт Компании,
Complete,Завершен,
Completed,Завершено,
Condition,Условия,
Confirmation Email Sent,Отправлено письмо подтверждения,
Confirmation Email Template,Шаблон письма с подтверждением,
Content,Содержание,
Correct,Правильный,
Country,Страна,
Course,Курс,
Course Chapter,Глава курса,
Course Creator,Создание курса,
Course Evaluator,Оценщик курса,
Course Instructor,Преподаватель курса,
Course Lesson,Урок курса,
Course Progress Summary,Сводка успеваемости по курсу,
Course Settings,Настройки курса,
Course Title,Заголовок курса,
Courses,Курсы,
Currency,Валюта,
Current Lesson,Текущий урок,
Custom HTML,Пользовательский HTML-код,
Custom Script (JavaScript),Пользовательский скрипт (JavaScript),
Customisations,Персонализация,
Dashboard,Панель,
Date,Дата,
Day,День,
Default Currency,Валюта по умолчания,
Degree Type,Тип степени,
Description,Описание,
Disable Self Learning,Отключить самообучение,
Disable Signup,Отключение Регистрация,
Disabled,Отключено,
Discussions,Обсуждения,
Document,Документ,
Duration,Продолжительность,
E-Mail,E-Mail,
E-mail,E-mail,
Education Detail,Детали обучения,
Email Sent,Email отправлен,
Email Templates,Шаблоны Email,
Emails,Письма,
Enable,Включить,
Enabled,Включено,
End Date,Дата окончания,
End Date (or expected),Дата окончания (или ожидаемая),
End Time,Время окончания,
Enrollments,Зачисления,
Evaluation Details,Подробности оценки,
Evaluation End Date,Дата окончания оценки,
Evaluator,Оценщик,
Evaluator Schedule,График оценки,
Event,Событие,
Exercise,Упражнения,
Exercise Latest Submission,Упражнение Последняя подача,
Exercise Submission,Представление упражнений,
Exercise Title,Название упражнения,
Expiration Date,Дата окончания срока,
Expiry Date,Истекает,
Explanation,Объяснение,
Explanation ,Объяснение ,
Fail,Ошибка,
Failed,Не выполнено,
Featured,Популярные,
Feedback,Обратная связь,
Field To Check,Поле для проверки,
Field of Major/Study,Область специальности/исследования,
File Type,Тип файла,
Freelance,Фриланс,
French (e.g. Distinction),"Французский (например, с отличием)",
Friday,Пятница,
From,От,
From Date,С,
Full Name,Полное имя,
Full Time,Полная занятость,
Function,Функция,
GSTIN,GSTIN,
General,Основные,
Google Meet Link,Ссылка на Google Meet,
Grade,Уровень,
Grade Assignment,Оценить Задание,
Grade Type,Шкала оценок,
Grant only once,Предоставить только один раз,
Headline,Заголовок,
Hints,Подсказки,
Host,Сервер,
