Active,Aktívny,
Address,Adresa,
Admin,admin,
All,ALL,
Amount,Částka,
Approved,Schválený,
Assignment,úloha,
Cancelled,ZRUŠENÉ,
Category,Kategória,
City,Mesto,
Client ID,ID klienta,
Client Secret,Klientské tajomstvo,
Closed,Zavreté,
Code,Kód,
Color,Farba,
Comments,Komentáre,
Company,Spoločnosť,
Company Name,Názov spoločnosti,
Complete,Hotovo,
Completed,Dokončeno,
Condition,Podmienka,
Confirmation Email Template,Šablóna e-mailu s potvrdením,
Content,Obsah,
Country,Krajina,
Currency,Mena,
Custom HTML,Vlastné HTML,
Dashboard,prístrojová doska,
Date,Dátum,
Day,Deň,
Description,popis,
Disable Signup,Vypnúť registrácie,
Disabled,Vypnuté,
Document,Dokument,
Duration,trvanie,
Email Sent,Email odoslaný,
Enable,Zapnout,
Enabled,Zapnuto,
End Date,Datum ukončení,
Event,Událost,
Fail,zlyhať,
Failed,Nepodarilo,
Featured,Najlepšie,
Feedback,Zpětná vazba,
Field To Check,Polia na kontrolu,
File Type,Typ súboru,
Friday,Pátek,
From,Od,
From Date,Od data,
Full Name,Celé meno/názov,
Function,Funkcia,
Host,Hostiteľ,
Icon,ikona,
Image,Obrázok,
In Progress,Pokrok,
Inactive,neaktívne,
Index,Index,
JavaScript,JavaScript,
Job,zamestnania,
Keyboard Shortcuts,Klávesové skratky,
Label,Popis,
Language,Jazyk,
Location,Místo,
Medium,Střední,
Meta Description,Meta popis,
Meta Image,Meta obrázok,
Milestone,Mezník,
Monday,Pondělí,
New,Nový,
Note,Poznámka,
Notifications,oznámenia,
OAuth Client ID,ID klienta OAuth,
Offline,offline,
Online,online,
Open,Otvoriť,
Option 1,Možnosť 1,
Option 2,Možnosť 2,
Option 3,Variant 3,
Output,Výkon,
PDF,PDF,
Password,Heslo,
Pending,Čakajúce,
Percentage,percento,
Private,Súkromné,
Progress,pokrok,
Public,Verejné,
Published,Zverejnené,
Published On,Zverejnené (kedy),
Rating,Rating,
Reference DocName,Odkaz DocName,
Reference DocType,Referenčný DocType,
Reference Document Type,Referenčná Typ dokumentu,
Rejected,Zamítnuto,
Reload,Znovu načítať,
Remote,diaľkový,
Restricted,restricted,
Review,Preskúmanie,
Role,Role,
Route,trasa,
Saturday,Sobota,
Session Defaults,Predvolené hodnoty relácie,
Sidebar Items,Položky postranného panelu,
Source,Zdroj,
Start Date,Dátum začiatku,
Start Time,Start Time,
Status,Stav,
Summary,zhrnutie,
Sunday,Nedeľa,
System Manager,Správca systému,
Tags,Tagy,
Template,Šablona,
Text,Text,
Thursday,Čtvrtek,
Time,čas,
Title,Názov,
To,na,
To Date,To Date,
Tuesday,Úterý,
Type,Typ,
URL,URL,
User,užívateľ,
User Field,Pole používateľa,
User Image,Obrázok užívateľa (avatar),
Username,Užívateľské meno,
Value,hodnota,
Value Change,Změnit hodnotu,
View Website,Prejsť na webstránku,
Web Page,Www stránky,
Wednesday,Středa,
