Active,Aktivno,
Address,Naslov,
Admin,Admin,
All,Vse,
Amount,Znesek,
Approved,Odobreno,
Assignment,Naloga,
Cancelled,Prekinjeno,
Category,Kategorija,
City,Mesto,
Client ID,ID stranke,
Client Secret,Naročnik Secret,
Closed,Zaprto,
Code,Koda,
Color,Barva,
Comments,Komentarji,
Company,Podjetje,
Company Name,ime podjetja,
Complete,Končaj,
Completed,Končano,
Condition,Pogoj,
Confirmation Email Template,Potrditvena e-poštna predloga,
Content,Vsebina,
Country,Država,
Currency,Valuta,
Custom HTML,Custom HTML,
Dashboard,Armaturna plošča,
Date,Datum,
Day,Dan,
Description,Opis,
Disable Signup,Onemogoči vpišeš,
Disabled,Onemogočeno,
Document,Dokument,
Duration,Trajanje,
Email Sent,Email Sent,
Enable,Omogoči,
Enabled,Omogočeno,
End Date,Končni datum,
Event,Dogodek,
Fail,Ne uspe,
Failed,Ni uspelo,
Featured,Predstavljeno,
Feedback,Povratne informacije,
Field To Check,Polje za preverjanje,
File Type,Vrsta datoteke,
Friday,Petek,
From,iz,
From Date,Od datuma,
Full Name,Polno ime,
Function,Funkcija,
Host,Gostitelj,
Icon,Ikona,
Image,Image,
In Progress,V delu,
Inactive,Neaktivno,
Index,Index,
JavaScript,JavaScript,
Job,Job,
Keyboard Shortcuts,Bližnjice na tipkovnici,
Label,Label,
Language,Jezik,
Location,Kraj,
Medium,Medium,
Meta Description,Meta opis,
Meta Image,Meta Image,
Milestone,Mejnik,
Monday,Ponedeljek,
New,Novo,
Note,Zapisek,
Notifications,Obvestila,
OAuth Client ID,ID stranke OAuth,
Offline,Offline,
Online,Na zalogi,
Open,Odprto,
Option 1,Možnost 1,
Option 2,Možnost 2,
Option 3,Možnost 3,
Output,izhod,
PDF,PDF,
Password,Geslo,
Pending,V teku,
Percentage,Odstotek,
Private,Zasebno,
Progress,napredek,
Public,Javno,
Published,Objavljeno,
Published On,Objavljeno On,
Rating,Ocena,
Reference DocName,Reference DocName,
Reference DocType,Referenčni DocType,
Reference Document Type,Referenčni dokument Type,
Rejected,Zavrnjeno,
Reload,Osveži,
Remote,daljinsko,
Restricted,Omejeno,
Review,Pregled,
Role,Vloga,
Route,Route,
Saturday,Sobota,
Session Defaults,Privzete seje,
Sidebar Items,Sidebar Items,
Source,Vir,
Start Date,Datum začetka,
Start Time,Začetni čas,
Status,Stanje,
Summary,Povzetek,
Sunday,Nedelja,
System Manager,System Manager,
Tags,Oznake,
Template,Predloga,
Text,Besedilo,
Thursday,Četrtek,
Time,Čas,
Title,Naziv,
To,Za,
To Date,Če želite Datum,
Tuesday,Torek,
Type,Tip,
URL,URL,
User,Uporabnik,
User Field,Uporabniško polje,
User Image,Uporabnik slike,
Username,Uporabniško ime,
Value,Vrednost,
Value Change,Vrednost Spremeni,
View Website,View Website,
Web Page,Spletna stran,
Wednesday,Sreda,
