About,О,
Acceptance for Terms and/or Policies,Прихватање услова и/или правила,
Accepted,Прихваћено,
Account ID,ИД налога,
Account Name,Назив налога,
Active,Активан,
Address,Адреса,
Admin,Администратор,
All,Све,
Allow Guest Access,Дозволи приступ гостима,
Allow Job Posting From Website,Дозволи огласе за посао са веб-сајта,
Allow Self Enrollment,Дозволи самостални упис,
Allow accessing future dates,Дозволи приступ будућим датумима,
Amber,Амбер,
Amount,Износ,
Amount (USD),Износ (USD),
Amount with GST,Износ са GST,
Answer,Одговор,
Apply GST for India,Примени GST за Индију,
Apply Rounding on Equivalent,Примени заокруживање на еквивалент,
Approved,Одобрено,
Apps,Апликације,
Assessment,Процена,
Assessment Name,Назив процене,
Assessment Type,Врста процене,
Assessments,Процене,
Assignment,Задатак,
Assignment Attachment,Прилог задатка,
Assignment Title,Наслов задатка,
Assignment will appear at the bottom of the lesson.,Задатак ће се приказивати на дну у оквиру лекције.,
Attendees,Присутни,
Attire Preference,Преференција одевања,
Auto Assign,Аутоматска додела,
Auto Recording,Аутоматско снимање,
Badge,Беџ,
Badge Description,Опис беџа,
Badge Image,Слика беџа,
Batch,Група,
Batch Confirmation Template,Шаблон потврде групе,
Batch Course,Групна обука,
Batch Description,Опис групе,
Batch Details,Детаљи групе,
Batch Details Raw,Необрађени детаљи групе,
Batch Evaluator,Особа за оцењивање групе,
Batch Name,Назив групе,
Batch Old,Стара група,
Batch Settings,Подешавања групе,
Batch Title,Наслов групе,
Batches,Групе,
Begin Date,Датум почетка,
Billing Details,Детаљи фактурисања,
Billing Name,Назив за фактурисање,
Blue,Плава,
Body,Садржај,
Branch,Организациона јединица,
CGPA/4,CGPA/4,
Cancelled,Отказано,
Career Preference Details,Детаљи о каријерним преференцијама,
Category,Категорија,
Certificate,Сертификат,
Certificate Email Template,Шаблон имејла за сертификат,
Certification,Сертификација,
Certification Details,Детаљи сертификације,
Certification Name,Назив сертификације,
Certifications,Сертификација,
Certified Members,Сертификовани чланови,
Chapter,Поглавље,
Chapter Reference,Референца поглавља,
Chapters,Поглавља,
Choices,Избори,
City,Град,
Client ID,ИД клијента,
Client Secret,Тајна клијента,
Closed,Затворено,
Cloud,Облак,
Code,Код,
