Active,Active,
Address,Anwani,
Admin,Admin,
All,ZOTE,
Amount,Kiasi,
Approved,Imekubaliwa,
Assignment,Kazi,
Cancelled,Kuweza,
Category,Jamii,
City,Jiji,
Client ID,Kitambulisho cha Mteja,
Client Secret,Siri ya Mteja,
Closed,Ilifungwa,
Code,Kanuni,
Color,Rangi,
Comments,Maoni,
Company,Kampuni,
Company Name,jina la kampuni,
Complete,Jaza,
Completed,Imekamilishwa,
Condition,Hali,
Confirmation Email Template,Kiolezo cha Barua pepe ya Uthibitishaji,
Content,Maudhui,
Country,Nchi,
Currency,Fedha,
Custom HTML,HTML ya kawaida,
Dashboard,Dashibodi,
Date,Tarehe,
Day,Siku,
Description,Maelezo,
Disable Signup,Zima Kuingia,
Disabled,Walemavu,
Document,Nyaraka,
Duration,Muda,
Email Sent,Kutumwa Barua pepe,
Enable,Wezesha,
Enabled,Imewezeshwa,
End Date,Tarehe ya Mwisho,
Event,Tukio,
Fail,Inashindwa,
Failed,Imeshindwa,
Featured,Iliyoangaziwa,
Feedback,Maoni,
Field To Check,Shamba Kuangalia,
File Type,Aina ya Faili,
Friday,Ijumaa,
From,Kutoka,
From Date,Kutoka Tarehe,
Full Name,Jina kamili,
Function,Kazi,
Host,Jeshi,
Icon,Picha,
Image,Picha,
In Progress,Inaendelea,
Inactive,Haikufanya kazi,
Index,Nambari,
JavaScript,JavaScript,
Job,Ayubu,
Keyboard Shortcuts,Njia za mkato za kibodi,
Label,Lebo,
Language,Lugha,
Location,Eneo,
Medium,Kati,
Meta Description,Maelezo ya Meta,
Meta Image,Picha ya Meta,
Milestone,Milestone,
Monday,Jumatatu,
New,Mpya,
Note,Kumbuka,
Notifications,Arifa,
OAuth Client ID,Kitambulisho cha Mteja wa OAuth,
Offline,Hifadhi ya mbali,
Online,Online,
Open,Fungua,
Option 1,Chaguo 1,
Option 2,Chaguo 2,
Option 3,Chaguo 3,
Output,Pato,
PDF,PDF,
Password,Nenosiri,
Pending,Inasubiri,
Percentage,Asilimia,
Private,Privat,
Progress,Maendeleo,
Public,Umma,
Published,Ilichapishwa,
Published On,Imechapishwa On,
Rating,Upimaji,
Reference DocName,Rejea DocName,
Reference DocType,Aina ya Hati ya Marejeo,
Reference Document Type,Aina ya Kumbukumbu ya Kumbukumbu,
Rejected,Imekataliwa,
Reload,Pakia tena,
Remote,Remote,
Restricted,Imezuiliwa,
Review,Mapitio,
Role,Wajibu,
Route,Njia,
Saturday,Jumamosi,
Session Defaults,Defavers ya Kikao,
Sidebar Items,Vipande vya Sidebar,
Source,Chanzo,
Start Date,Tarehe ya Mwanzo,
Start Time,Anza Muda,
Status,Hali,
Summary,Muhtasari,
Sunday,Jumapili,
System Manager,Meneja wa Mfumo,
Tags,Vitambulisho,
Template,Kigezo,
Text,Nakala,
Thursday,Alhamisi,
Time,Wakati,
Title,Kichwa,
To,Kwa,
To Date,Mpaka leo,
Tuesday,Jumanne,
Type,Weka,
URL,URL,
User,Mtumiaji,
User Field,Sehemu ya Watumiaji,
User Image,Picha ya mtumiaji,
Username,Jina la mtumiaji,
Value,Thamani,
Value Change,Mabadiliko ya Thamani,
View Website,Tazama Tovuti,
Web Page,Ukurasa wa wavuti,
Wednesday,Jumatano,
