Active,Активний,
Address,Адреса,
Admin,Адміністратор,
All,ВСІ,
Amount,Сума,
Approved,Затверджений,
Assignment,призначення,
Cancelled,ВІДМОВЛЕНО,
Category,Категорія,
City,Місто,
Client ID,ідентифікатор клієнта,
Client Secret,клієнт Secret,
Closed,Закрито,
Code,Код,
Color,Колір,
Comments,Коментарі,
Company,Компанія,
Company Name,Назва компанії,
Complete,Повний,
Completed,Завершено,
Condition,Стан,
Confirmation Email Template,Підтвердження шаблон електронної пошти,
Content,Зміст,
Country,Країна,
Currency,Валюта,
Custom HTML,Особливий HTML,
Dashboard,Панель приладів,
Date,Дата,
Day,день,
Description,Опис,
Disable Signup,Відключити Реєстрація,
Disabled,Неактивний,
Document,Документ,
Duration,Тривалість,
Email Sent,Листа відправлено,
Enable,включити,
Enabled,Включено,
End Date,Дата закінчення,
Event,Подія,
Fail,Невдалий,
Failed,Не вдалося,
Featured,Рекомендовані,
Feedback,Зворотній зв&#39;язок,
Field To Check,Поле для перевірки,
File Type,Тип файлу,
Friday,П&#39;ятниця,
From,Від,
From Date,З дати,
Full Name,Повне ім&#39;я,
Function,Функція,
Host,господар,
Icon,Значок,
Image,Зображення,
In Progress,В процесі,
Inactive,Неактивний,
Index,Індекс,
JavaScript,JavaScript,
Job,Робота,
Keyboard Shortcuts,Гарячі клавіши,
Label,Етикетка,
Language,Мова,
Location,Місцезнаходження,
Medium,Середній,
Meta Description,Мета Опис,
Meta Image,Метаобраз,
Milestone,Віха,
Monday,Понеділок,
New,Нові,
Note,Примітка,
Notifications,Сповіщення,
OAuth Client ID,Ідентифікатор клієнта OAuth,
Offline,Offline,
Online,Online,
Open,Відкрито,
Option 1,Варіант 1,
Option 2,Варіант 2,
Option 3,Варіант 3,
Output,вихід,
PDF,PDF,
Password,Пароль,
Pending,До,
Percentage,Відсоток,
Private,Приватний,
Progress,прогрес,
Public,Громадської,
Published,Опублікований,
Published On,Опубліковано на,
Rating,рейтинг,
Reference DocName,Посилання на DocName,
Reference DocType,Довідковий тип DocType,
Reference Document Type,Посилання Тип документа,
Rejected,Відхилено,
Reload,Оновити,
Remote,віддалений,
Restricted,Обмежений,
Review,Огляд,
Role,Роль,
Route,Маршрут,
Saturday,Субота,
Session Defaults,За замовчуванням сесії,
Sidebar Items,Sidebar товари,
Source,Джерело,
Start Date,Дата початку,
Start Time,Час початку,
Status,Стан,
Summary,Резюме,
Sunday,Неділя,
System Manager,Менеджер системи,
Tags,Ключові слова,
Template,Шаблон,
Text,Текст,
Thursday,Четвер,
Time,Час,
Title,Назва,
To,До,
To Date,По дату,
Tuesday,Вівторок,
Type,Тип,
URL,URL,
User,Користувач,
User Field,Поле користувача,
User Image,Користувач Зображення,
Username,Ім&#39;я користувача,
Value,Значення,
Value Change,Значення Зміна,
View Website,Подивитися веб-сайт,
Web Page,Веб-сторінка,
Wednesday,Середа,
