Active,ایکٹو,
Address,پتہ,
Admin,ایڈمن,
All,سب,
Amount,رقم,
Approved,منظور,
Assignment,تفویض,
Cancelled,منسوخ,
Category,زمرہ,
City,شہر,
Client ID,کلائنٹ ID,
Client Secret,کلائنٹ خفیہ,
Closed,بند,
Code,کوڈ,
Color,رنگین,
Comments,تبصرے,
Company,کمپنی,
Company Name,کمپنی کا نام,
Complete,مکمل,
Completed,مکمل,
Condition,حالت,
Confirmation Email Template,تصدیقی ای میل سانچہ,
Content,مواد,
Country,ملک,
Currency,کرنسی,
Custom HTML,اپنی مرضی کے مطابق ایچ ٹی ایم ایل,
Dashboard,ڈیش بورڈ,
Date,تاریخ,
Day,ڈے,
Description,تفصیل,
Disable Signup,سائن اپ غیر فعال,
Disabled,معذور,
Document,دستاویز,
Duration,دورانیہ,
Email Sent,ای میل بھیجا,
Enable,فعال,
Enabled,فعال,
End Date,آخری تاریخ,
Event,تقریب,
Fail,ناکام,
Failed,ناکام,
Featured,نمایاں,
Feedback,آپ کی رائے,
Field To Check,چیک کرنے کے لئے فیلڈ,
File Type,فائل کی قسم,
Friday,جمعہ,
From,سے,
From Date,تاریخ سے,
Full Name,پورا نام,
Function,فنکشن,
Host,میزبان,
Icon,شبیہہ,
Image,تصویر,
In Progress,کام جاری ہے,
Inactive,غیر فعال,
Index,انڈیکس,
JavaScript,جاوا سکرپٹ,
Job,نوکری۔,
Keyboard Shortcuts,کی بورڈ شارٹ کٹس,
Label,لیبل,
Language,زبان,
Location,مقام,
Medium,میڈیم,
Meta Description,میٹا تفصیل,
Meta Image,میٹا امیج,
Milestone,سنگ میل,
Monday,پیر,
New,نئی,
Note,نوٹ,
Notifications,اطلاعات,
OAuth Client ID,OAuth کلائنٹ کی شناخت,
Offline,آف لائن,
Online,آن لائن,
Open,کھولیں,
Option 1,اختیار 1,
Option 2,اختیار 2,
Option 3,آپشن 3,
Output,پیداوار,
PDF,PDF,
Password,پاس ورڈ,
Pending,زیر غور,
Percentage,پرسنٹیج,
Private,ذاتی,
Progress,پیش رفت,
Public,پبلک,
Published,آخری,
Published On,پر شائع,
Rating,درجہ بندی,
Reference DocName,حوالہ DocName,
Reference DocType,حوالہ ڈاکٹائپ,
Reference Document Type,حوالہ دستاویز کی قسم,
Rejected,مسترد,
Reload,دوبارہ,
Remote,ریموٹ,
Restricted,محدود ہے,
Review,جائزہ,
Role,کردار,
Route,روٹ,
Saturday,ہفتہ,
Session Defaults,سیشن ڈیفالٹس,
Sidebar Items,سائڈبار اشیا,
Source,ماخذ,
Start Date,شروع کرنے کی تاریخ,
Start Time,وقت آغاز,
Status,سٹیٹس,
Summary,خلاصہ,
Sunday,اتوار,
System Manager,سسٹم مینیجر,
Tags,ٹیگز,
Template,سانچہ,
Text,متن,
Thursday,جمعرات,
Time,وقت,
Title,عنوان,
To,کرنے کے لئے,
To Date,تاریخ کرنے کے لئے,
Tuesday,منگل,
Type,قسم,
URL,URL,
User,صارف,
User Field,صارف کا فیلڈ,
User Image,صارف تصویر,
Username,صارف کا نام,
Value,قدر,
Value Change,قدر تبدیل,
View Website,سائٹ,
Web Page,ویب صفحہ,
Wednesday,بدھ,
