 Please evaluate and grade it.,请进行评估并评分。,
A course cannot have both paid certificate and certificate of completion.,课程不可同时设置付费证书与结业证书。,
A one line introduction to the course that appears on the course card,课程卡片显示的课程简介（单行）,
About,关于,
About this batch,本批次说明,
Acceptance for Terms and/or Policies,条款及政策接受声明,
Accepted,已接受,
Account ID,账户ID,
Account Name,科目名称,
Achievements,成就,
Active,激活,
Active Members,活跃成员,
Add,添加,
Add Chapter,添加章节,
Add Lesson,添加课时,
Add Row,添加一行,
Add Slot,添加时段,
Add a Chapter,新增章节,
Add a Lesson,新增课时,
Add a Student,添加学员,
Add a chapter,添加章节,
Add a course,创建课程,
Add a keyword and then press enter,输入关键词后按回车键添加,
Add a lesson,添加课时,
Add a new question,新增试题,
Add a quiz to your lesson,为本课时添加测验,
Add an assessment,添加考核,
Add an assignment to your lesson,为本课时添加作业,
Add at least one possible answer for this question: {0},请为该问题添加至少一个备选答案：{0},
Add courses to your batch,为班级添加课程,
Add students to your batch,为班级添加学员,
Add web page to sidebar,添加网页至侧边栏,
Add your assignment as {0},以{0}格式添加作业,
Add your first chapter,添加首个章节,
Add your first lesson,添加首节课时,
Address,地址,
Address Line 1,地址行1,
Address Line 2,地址行2,
Admin,管理员,
All,全部,
All Batches,所有批次,
All Courses,所有课程,
All questions should have the same marks if the limit is set.,若设置分数限制，所有试题分值必须统一。,
Allow Guest Access,允许访客访问,
Allow Job Posting From Website,允许通过网站发布职位,
Allow Self Enrollment,允许自助注册,
Allow accessing future dates,允许访问未来日期,
Allow self enrollment,允许自助注册,
Already Registered,已注册,
Amount,金额,
Amount (USD),金额（美元）,
Amount and currency are required for paid batches.,付费批次必须填写金额与币种。,
Amount and currency are required for paid certificates.,付费证书必须填写金额与币种。,
Amount and currency are required for paid courses.,付费课程必须填写金额与币种。,
Amount with GST,含商品及服务税金额,
Announcement,公告,
Announcement has been sent successfully,公告发送成功,
Announcement is required,必须填写公告内容。,
Answer,答案,
Appears on the course card in the course list,显示在课程列表的课程卡片上,
Appears when the batch URL is shared on any online platform,在分享批次链接至网络平台时显示,
Appears when the batch URL is shared on socials,当班级URL在社交平台分享时显示,
Apply,应用,
Apply GST for India,应用印度商品及服务税,
