About,关于,
Acceptance for Terms and/or Policies,条款及政策接受声明,
Accepted,已接受,
Account ID,账户ID,
Account Name,科目名称,
Active,激活,
Address,地址,
Admin,管理员,
All,全部,
Allow Guest Access,允许访客访问,
Allow Job Posting From Website,允许通过网站发布职位,
Allow Self Enrollment,允许自助注册,
Allow accessing future dates,允许访问未来日期,
Amount,金额,
Amount (USD),金额（美元）,
Amount with GST,含商品及服务税金额,
Answer,答案,
Apply GST for India,应用印度商品及服务税,
Apply Rounding on Equivalent,应用等价舍入,
Approved,已批准,
Apps,应用,
Assessment,考核,
Assessment Name,考核名称,
Assessment Type,考核类型,
Assessments,考核,
Assignment,作业,
Assignment Attachment,作业附件,
Assignment Title,作业标题,
Assignment will appear at the bottom of the lesson.,作业将显示在课时末尾。,
Attendees,参会人员,
Attire Preference,着装偏好,
Auto Assign,自动分配,
Auto Recording,自动录制,
Badge,徽章,
Badge Description,徽章描述,
Badge Image,徽章图片,
Batch,批次,
Batch Confirmation Template,批次确认模板,
Batch Course,批次课程,
Batch Description,批次说明,
Batch Details,批次详情,
Batch Details Raw,批次原始数据,
Batch Evaluator,批次评估人,
Batch Name,批次名称,
Batch Old,旧批次,
Batch Settings,批次设置,
Batch Title,批次标题,
Batches,批次,
Begin Date,起始日期,
Billing Details,账单明细,
Billing Name,账单名称,
Blue,蓝色,
Body,正文,
Branch,分支机构,
CGPA/4,累计平均绩点/4分制,
Cancelled,已取消,
Career Preference Details,职业偏好详情,
Category,类别,
Certificate,证书,
Certificate Email Template,证书邮件模板,
Certification,认证,
Certification Details,认证详情,
Certification Name,认证名称,
Certified Members,认证成员,
Chapter,章节,
Chapter Reference,章节引用,
Chapters,章节,
Choices,选项,
City,城市,
Client ID,客户端ID,
Client Secret,客户端密钥,
Closed,已关闭,
Cloud,云,
Code,代码,
Cohort,学习群组,
Cohort Join Request,加入群组请求,
Cohort Mentor,群组导师,
Cohort Staff,群组工作人员,
Cohort Subgroup,群组子分组,
Cohort Web Page,群组网页,
Collaboration Preference,协作偏好,
College Name,院校名称,
Color,颜色,
Comments,评语,
Common keywords that will be used for all pages,全站通用关键词,
Company,公司,
Company Details,公司详情,
Company Email Address,公司邮箱,
Company Logo,公司标志,
Company Name,公司名称,
Company Type,公司类型,
Company Website,公司网站,
Complete,完成,
Completed,已完成,
Completion Certificate,结业证书,
Condition,条件,
Confirmation Email Sent,确认邮件已发送,
Confirmation Email Template,确认邮件模板,
Contact Us,联系我们,
Content,内容,
Contract,合同,
Correct,正确,
Country,国家,
Course,课程,
Course Chapter,课程章节,
Course Creator,课程创建者,
Course Evaluator,课程评估人,
Course Instructor,课程讲师,
Course Lesson,课程课时,
Course Progress Summary,课程进度概览,
Course Settings,课程设置,
Course Title,课程标题,
Courses,课程,
Cover Image,封面图片,
Currency,币种,
Current Lesson,当前课时,
Custom HTML,自定义HTML,
Custom Script (JavaScript),自定义脚本（JavaScript）,
Custom Signup Content,自定义注册内容,
Customisations,自定义配置,
Cyan,青色,
Dashboard,仪表盘,
Date,日期,
Day,天,
Default Currency,默认币种,
Degree Type,学位类型,
Description,描述,
Disable Self Learning,禁用自主学习,
Disable Signup,禁用注册功能,
Disabled,已禁用,
Discussions,讨论区,
Document,文档,
Dream Companies,目标企业,
Duration,时长,
Duration (in minutes),时长（分钟）,
E-Mail,电子邮件,
E-mail,电子邮件,
Education,教育背景,
Education Detail,教育详情,
Education Details,教育背景详情,
Email Sent,邮件已发送,
Email Templates,邮件模板,
Emails,邮件,
Enable,启用,
Enabled,已启用,
End Date,结束日期,
End Date (or expected),结束日期（或预期）,
End Time,结束时间,
Enrollments,注册记录,
Evaluation Details,评估详情,
Evaluation End Date,评估结束日期,
Evaluator,评估人,
Evaluator Name,评估人姓名,
Evaluator Schedule,评估人日程,
Event,事件,
Exercise,练习,
Exercise Latest Submission,最新练习提交,
Exercise Submission,练习提交,
Exercise Title,练习标题,
Expiration Date,失效日期,
Expiry Date,到期日,
Explanation,解析,
Explanation ,解析,
Fail,未通过,
Failed,失败,
Featured,精选,
Feedback,反馈,
Field To Check,待检查字段,
Field of Major/Study,专业/研究领域,
File Type,文件类型,
Frappe Support,Frappe支持,
Freelance,自由职业,
French (e.g. Distinction),法国评分（如优秀）,
Friday,星期五,
From,自,
From Date,起始日期,
Full Name,全名,
Full Time,全职,
Function,职能,
GSTIN,商品及服务税识别号,
General,常规,
Github ID,Github账号,
Google Meet Link,Google Meet链接,
Grade,评分,
Grade Assignment,作业评分,
Grade Type,评分类型,
Grant only once,仅授予一次,
Gray,灰色,
Green,绿色,
Headline,标题,
Hide my Private Information from others,隐藏我的个人信息,
Hints,提示,
Host,主持人,
I am currently working here,我目前在此任职,
I am looking for a job,我正在求职,
Icon,图标,
Identify User Category,识别用户类别,
"If you set an amount here, then the USD equivalent setting will not get applied.",此处设置金额后将不再应用美元等值换算,
Image,图片,
In Progress,进行中,
Inactive,未激活,
Include In Preview,包含在预览中,
Incomplete,未完成,
Incorrect,错误,
Index,索引,
Index Label,索引标签,
Industry,行业,
Institution Name,机构名称,
Instructor,讲师,
Instructor Content,讲师内容,
Instructor Notes,讲师备注,
Instructors,讲师,
Invite Code,邀请码,
Invite Only,仅限邀请,
Is Correct,是否正确,
Is SCORM Package,是否为SCORM包,
Issue Date,签发日期,
Issued On,签发日期,
Items in Sidebar,侧边栏项目,
JavaScript,JavaScript,
Job,职位,
Job Board Subtitle,招聘看板副标题,
Job Board Title,招聘看板标题,
Job Opportunity,工作机会,
Job Settings,职位设置,
Job Title,职位名称,
Jobs,职位,
Join URL,加入链接,
Keyboard Shortcuts,键盘快捷键,
LMS,学习管理系统,
LMS Assessment,学习管理系统考核,
LMS Assignment,学习管理系统作业,
LMS Assignment Submission,学习管理系统作业提交,
LMS Badge,学习管理系统徽章,
LMS Badge Assignment,学习管理系统徽章分配,
LMS Batch,学习管理系统批次,
LMS Batch Enrollment,学习管理系统批次注册,
LMS Batch Feedback,学习管理系统批次反馈,
LMS Batch Old,学习管理系统旧批次,
LMS Batch Timetable,学习管理系统批次课表,
LMS Category,学习管理系统分类,
LMS Certificate,学习管理系统证书,
LMS Certificate Evaluation,学习管理系统证书评估,
LMS Certificate Request,学习管理系统证书申请,
LMS Course,学习管理系统课程,
LMS Course Interest,学习管理系统课程兴趣,
LMS Course Mentor Mapping,学习管理系统课程导师映射,
LMS Course Progress,学习管理系统课程进度,
LMS Course Review,学习管理系统课程评价,
LMS Enrollment,学习管理系统注册,
LMS Exercise,学习管理系统练习,
LMS Job Application,学习管理系统职位申请,
LMS Live Class,学习管理系统直播课程,
LMS Mentor Request,学习管理系统导师请求,
LMS Option,学习管理系统选项,
LMS Payment,学习管理系统支付,
LMS Program,学习管理系统项目,
LMS Program Course,学习管理系统项目课程,
LMS Program Member,学习管理系统项目成员,
LMS Question,学习管理系统试题,
LMS Quiz,学习管理系统测验,
LMS Quiz Question,学习管理系统测验题目,
LMS Quiz Result,学习管理系统测验结果,
LMS Quiz Submission,学习管理系统测验提交,
LMS Settings,学习管理系统设置,
LMS Sidebar Item,学习管理系统侧边栏项目,
LMS Source,学习管理系统来源,
LMS Student,学习管理系统学员,
LMS Timetable Legend,学习管理系统课表图例,
LMS Timetable Template,学习管理系统课表模板,
Label,标签,
Language,语言,
Latest Submission,最新提交,
Launch File,启动文件,
Lesson,课时,
Lesson Reference,课时引用,
Lesson Title,课时标题,
Lessons,课时,
"Letter Grade (e.g. A, B-)",字母评分（如A、B-）,
Limit Questions To,题目限制数量,
